"Program","StationCode","Latitude","Longitude"
"DJFMP","SJ041N",37.95562193,-121.3462528
"DJFMP","SJ051E",37.83069661,-121.3113902
"DJFMP","SJ056E",37.78703776,-121.3073651
"DJFMP","SJ063W",37.72497212,-121.2968653
"DJFMP","SJ074W",37.67227165,-121.244883
"DJFMP","SJ058W",37.77243915,-121.3030658
"DJFMP","SJ058E",37.77127404,-121.3016392
"DJFMP","SJ065W",37.70940644,-121.2787764
"DJFMP","SJ068W",37.69692686,-121.2721691
"DJFMP","SJ077E",37.63883594,-121.2274124
"DJFMP","SJ083W",37.6131828,-121.176304
"DJFMP","DS002S",38.05876504,-121.4583571
"DJFMP","SJ087W",37.58019,-121.164823
"DJFMP","SR014W",38.18651797,-121.6626646
"DJFMP","SR024E",38.24039242,-121.5547949
"DJFMP","SR012E",38.13272407,-121.6865463
"DJFMP","SR017E",38.16272799,-121.6115749
"DJFMP","SR049E",38.47805124,-121.543378
"DJFMP","SR043W",38.38304913,-121.5208997
"DJFMP","SR055E",38.52739416,-121.5293747
"DJFMP","LI001W",38.277443,-121.6942435
"DJFMP","LI004W",38.25268,-121.686264
"DJFMP","LI005E",38.273775,-121.6669301
"DJFMP","SR057E",38.559775,-121.5163611
"DJFMP","SR060E",38.60053595,-121.5091653
"DJFMP","SR062E",38.5992222,-121.5428694
"DJFMP","MR010W",37.9217722,-121.5287972
"DJFMP","MS001N",38.05604444,-121.7855639
"DJFMP","SR071E",38.67274584,-121.6248473
"DJFMP","SR080E",38.78414982,-121.6178397
"DJFMP","SR090W",38.80134714,-121.723532
"DJFMP","GS010E",38.22585563,-121.5271963
"DJFMP","SR094E",38.85300492,-121.7265503
"DJFMP","SR130E",39.1106217,-121.9032922
"DJFMP","SR138E",39.1942668,-121.9371027
"DJFMP","LI001E",38.241974,-121.6822745
"DJFMP","SR144W",39.21999207,-122.014965
"DJFMP","SS011N",38.30472188,-121.5749397
"DJFMP","LI002E",38.246361,-121.6781385
"DJFMP","TM001N",38.11666073,-121.6837998
"DJFMP","LI002W",38.269292,-121.6913945
"DJFMP","WD002W",37.95546975,-121.6042633
"DJFMP","LI003E",38.255043,-121.6720725
"DJFMP","XC001N",38.24552036,-121.5037624
"DJFMP","AM001S",38.59935675,-121.5057333
"DJFMP","LI003W",38.257888,-121.6902733
"DJFMP","MK004W",38.12746155,-121.5804697
"DJFMP","OR014W",37.92148633,-121.5558943
"DJFMP","LP003E",38.10993564,-121.5001684
"DJFMP","OR003W",38.031977,-121.581859
"DJFMP","OR019E",37.87674206,-121.5767796
"DJFMP","SJ005N",38.05079336,-121.6994317
"DJFMP","OR023E",37.82567304,-121.551276
"DJFMP","SF014E",38.2269122,-121.4911887
"DJFMP","SJ001S",38.01480683,-121.7827132
"DJFMP","SJ026S",38.05160734,-121.5098959
"DJFMP","SJ032S",37.9973944,-121.4473917
"DJFMP","LI004E",38.26514,-121.6715572
"DJFMP","LI005W",38.244607,-121.6864208
"DJFMP","SR012W",38.1392889,-121.6949056
"DJFMP","SJ076W",37.64758043,-121.2239856
"DJFMP","SJ074A",37.66621575,-121.2467263
"DJFMP","SJ079E",37.63161206,-121.2103708
"DJFMP","SJ070N",37.68741925,-121.2746579
"DJFMP","LI006W",38.282226,-121.6923514
"DJFMP","LI010W",38.302191,-121.6910438
"DJFMP","LI006E",38.277432,-121.6660058
"DJFMP","LI007E",38.283997,-121.6655426
"DJFMP","LI008E",38.289305,-121.6672063
"DJFMP","LI009E",38.298324,-121.6677617
"DJFMP","LI010E",38.302559,-121.6677872
"DJFMP","LI008W",38.287548,-121.6920158
"DJFMP","LI007W",38.282495,-121.6874303
"DJFMP","LI009W",38.291502,-121.6917733
"DJFMP","LI011E",38.313598,-121.6676653
"DJFMP","SR119E",39.02464916,-121.8220253
"DJFMP","SR143W",39.216901,-122.01253
"YBFMP","BL4",38.35496,-121.6422
"YBFMP","AL1",38.5445,-121.586639
"YBFMP","LIS",38.474816,-121.588584
"YBFMP","BL1",38.46681,-121.590851
"YBFMP","BL2",38.43189,-121.607053
"YBFMP","AL3",38.5185,-121.588623
"YBFMP","BL5",38.27428,-121.664178
"YBFMP","BL3",38.38939,-121.626278
"YBFMP","AL4",38.49439,-121.588583
"YBFMP","AL2",38.52806,-121.586639
"YBFMP","BL6",38.282465,-121.663182
