"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed","MeanDischarge_SJ","MeanDischarge_Sac","MeanDischarge_Delta","MeanDischarge_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_Liberty_Island","MeanWT_Sacramento","MeanWT_San_Joaquin","MeanWT_Yolo","MeanDischarge_SJ_scaled","MeanDischarge_Sac_scaled","MeanDischarge_Delta_scaled","MeanDischarge_Yolo_scaled","FlowTiming_SJ_scaled","FlowTiming_Sac_scaled","FlowTiming_Delta_scaled","FlowTiming_Yolo_scaled","MeanWT_Delta_scaled","MeanWT_Liberty_Island_scaled","MeanWT_Sacramento_scaled","MeanWT_San_Joaquin_scaled","MeanWT_Yolo_scaled"
1995,0.000316287507645532,NA,0.000992063492063492,0,NA,NA,17229.0163934426,66765.5737704918,146640.967213115,56228.262295082,98.6708006256628,76.4064699809154,75.8872362957325,65.2910595874238,17.6979137799622,NA,16.5286058376706,17.5219924449921,NA,1.23417495690115,1.58580053276537,2.245880620662,3.17462200057443,1.69842156525837,0.771352761541695,0.557395811563975,-0.00839035398315345,-1.75529570035861,NA,-2.12674565455042,-1.43310591494569,NA
1996,0.000102880658436214,NA,0.00485187761973476,0,NA,NA,11347.7049180328,46275.4098360656,65976.2950819672,8534.67213114754,82.6094583278241,74.0669225794912,72.0811086494336,56.9715907066667,19.4739384921981,NA,19.0641551471892,19.2592607611702,NA,0.456404848037767,0.593099458582773,0.394300001534558,-0.0370927006500495,0.0926253555373385,0.486065593289972,0.207543309837356,-0.404096779578452,-0.425404545212127,NA,-0.426097145298755,-0.462673739258667,NA
1997,0,NA,0.000595238095238095,0.00319664902998236,NA,NA,8949.50819672131,19070.4918032787,24154.2131147541,436.606557377049,46.7518977669959,44.3535311726609,31.8334832090169,15.4471751400678,20.9554629502473,NA,19.5841666630336,20.7138888968362,NA,0.139256924006034,-0.724915928733022,-0.565686004435332,-0.582421248267464,-3.49237605783572,-3.13722038435226,-3.49194702716638,-2.37916012728789,0.683964181089265,NA,-0.0773140213048332,0.349876592411118,NA
1998,0.000165752171925011,NA,0.000505050505050505,0.00173611111111111,NA,NA,20622.9508196721,60806.5573770492,96753.3278688525,12714.3114754098,82.4589647777722,73.3930418326255,68.8407559473376,50.1796982329346,17.2823688271605,NA,15.9517857142857,18.3322916666667,NA,1.68300354882329,1.29709996434759,1.10075743719854,0.244366696338992,0.0775791677543123,0.403891780570621,-0.0903041626212307,-0.727145706418547,-2.06645666196542,NA,-2.51363155704825,-0.98047552427749,NA
1999,0.000110229276895944,NA,0.0143207335543645,0.00677360090306519,NA,NA,7399.83606557377,43972.131147541,52575.9836065574,5018.93442622951,73.67928791385,66.8845734969089,65.6094407683897,62.5666356281168,19.2330654939016,NA,20.249523796354,19.5988541344802,NA,-0.0656784321954819,0.481510930762424,0.0867086314512581,-0.273844566754545,-0.800203745356186,-0.389758521202383,-0.387320921983309,-0.137974595741321,-0.605770768576687,NA,0.368955594771428,-0.272978035353178,NA
2000,0,NA,0.00519029581529581,0.000793650793650794,0.0559259259259259,NA,8613.27868852459,42862.2950819672,58062.5901639344,11578.6557377049,79.5919900005208,69.9598575312296,69.1677014511726,61.1900541448935,20.5202679668154,NA,20.3888093267168,20.1579761005583,24.1325,0.0947924772093227,0.427741939065359,0.212648452416503,0.167890964154021,-0.209057972859743,-0.014754760566038,-0.0602519118628538,-0.203450186319815,0.35808923394307,NA,0.462377453570459,0.039345594199517,1.9529971064548
2001,0,NA,0.00037202380952381,0.000694444444444444,0.00740740740740741,NA,3222.62295081967,18602.9508196721,17915.0983606557,1114.45901639344,80.045621529261,67.1112703526476,69.2935649492995,75.8743798694103,21.3733035598482,NA,20.8965476217724,22.6048264424006,21.1583333333333,-0.618091191253011,-0.747567208543957,-0.708898933391623,-0.536774260896603,-0.163704366918664,-0.362114839357813,-0.0486827623787175,0.494993684077455,0.996844135484579,NA,0.802928659313009,1.40614787724486,-0.941791558658485
2002,0.000318980721279572,NA,0.00988992819349962,0,2.72673333333333,NA,2362.13114754098,17955.737704918,14503.9836065574,176.032786885246,77.4571483421551,59.0767045454545,57.5771802919264,21.3473048127874,20.454249813267,NA,20.1589285986764,21.5674996217092,24.1,-0.731886355190571,-0.778923187749276,-0.787197819402583,-0.599968440805611,-0.422497209742178,-1.3418592659383,-1.12563205690887,-2.09852692139408,0.308654697431105,NA,0.308191409552315,0.826700641531325,1.92136450406213
2003,0.0000435388366422849,0,0.023170695045695,0.00291545189504373,0.00600961505524225,0.0321393008326233,2426.55737704918,22265.5737704918,18865.3114754098,1132.81967213115,81.7728458000059,69.2512940996696,70.638327306279,46.7879845757733,20.0007153431281,20.2744999957085,18.8817856470744,20.4857141858055,22.6375,-0.723366351489397,-0.570121593699669,-0.68708769755769,-0.535537843429304,0.00898170974091094,-0.101157820744868,0.0749254080604859,-0.888468851820575,-0.0309528971233865,-0.0687439083076557,-0.548416367148997,0.22241897449442,0.497897396392254
2004,0,0,0.00686907338693053,0,0,0.00686907338693053,3060.65573770492,35437.7049180328,39434.1147540984,8782.08196721311,81.6749626423455,62.6344260977863,62.3119333282769,56.8191639510425,21.2627976582164,20.5200001080831,20.3094049499148,21.9989584783713,NA,-0.639510437198964,0.0680377095291595,-0.21495043469812,-0.0204319752781898,-0.000804546018521796,-0.908026505603972,-0.690421956576144,-0.411346791267619,0.914097076753245,0.186764474584511,0.409119197251252,1.06771209214661,NA
