"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed","MeanDischarge_SJ","MeanDischarge_Sac","MeanDischarge_Delta","MeanDischarge_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_Liberty_Island","MeanWT_Sacramento","MeanWT_San_Joaquin","MeanWT_Yolo","MeanDischarge_SJ_scaled","MeanDischarge_Sac_scaled","MeanDischarge_Delta_scaled","MeanDischarge_Yolo_scaled","FlowTiming_SJ_scaled","FlowTiming_Sac_scaled","FlowTiming_Delta_scaled","FlowTiming_Yolo_scaled","MeanWT_Delta_scaled","MeanWT_Liberty_Island_scaled","MeanWT_Sacramento_scaled","MeanWT_San_Joaquin_scaled","MeanWT_Yolo_scaled"
1995,0.147804262753163,NA,0.28457403059098,0.180169841269841,NA,NA,17229.0163934426,66765.5737704918,146640.967213115,56228.262295082,98.6708006256628,76.4064699809154,75.8872362957325,65.2910595874238,17.6979137799622,NA,16.5286058376706,17.5219924449921,NA,1.23417495690115,1.58580053276537,2.245880620662,3.17462200057443,1.69842156525837,0.771352761541695,0.557395811563975,-0.00839035398315345,-1.75529570035861,NA,-2.12674565455042,-1.43310591494569,NA
1996,0.0259524079056206,NA,0.157973983688269,0.0296670921670922,NA,NA,11347.7049180328,46275.4098360656,65976.2950819672,8534.67213114754,82.6094583278241,74.0669225794912,72.0811086494336,56.9715907066667,19.4739384921981,NA,19.0641551471892,19.2592607611702,NA,0.456404848037767,0.593099458582773,0.394300001534558,-0.0370927006500495,0.0926253555373385,0.486065593289972,0.207543309837356,-0.404096779578452,-0.425404545212127,NA,-0.426097145298755,-0.462673739258667,NA
1997,0.036539614111502,NA,0.568043209876543,0.159182666613222,NA,NA,8949.50819672131,19070.4918032787,24154.2131147541,436.606557377049,46.7518977669959,44.3535311726609,31.8334832090169,15.4471751400678,20.9554629502473,NA,19.5841666630336,20.7138888968362,NA,0.139256924006034,-0.724915928733022,-0.565686004435332,-0.582421248267464,-3.49237605783572,-3.13722038435226,-3.49194702716638,-2.37916012728789,0.683964181089265,NA,-0.0773140213048332,0.349876592411118,NA
1998,0.0545973078394376,NA,0.225539965986395,0.184422461196211,NA,NA,20622.9508196721,60806.5573770492,96753.3278688525,12714.3114754098,82.4589647777722,73.3930418326255,68.8407559473376,50.1796982329346,17.2823688271605,NA,15.9517857142857,18.3322916666667,NA,1.68300354882329,1.29709996434759,1.10075743719854,0.244366696338992,0.0775791677543123,0.403891780570621,-0.0903041626212307,-0.727145706418547,-2.06645666196542,NA,-2.51363155704825,-0.98047552427749,NA
1999,0.0676948761891267,NA,0.238384282736664,0.474114390049184,NA,NA,7399.83606557377,43972.131147541,52575.9836065574,5018.93442622951,73.67928791385,66.8845734969089,65.6094407683897,62.5666356281168,19.2330654939016,NA,20.249523796354,19.5988541344802,NA,-0.0656784321954819,0.481510930762424,0.0867086314512581,-0.273844566754545,-0.800203745356186,-0.389758521202383,-0.387320921983309,-0.137974595741321,-0.605770768576687,NA,0.368955594771428,-0.272978035353178,NA
2000,0.158093947844024,NA,0.734326523129148,0.0692659605606034,0.00277777777777778,NA,8613.27868852459,42862.2950819672,58062.5901639344,11578.6557377049,79.5919900005208,69.9598575312296,69.1677014511726,61.1900541448935,20.5202679668154,NA,20.3888093267168,20.1579761005583,24.1325,0.0947924772093227,0.427741939065359,0.212648452416503,0.167890964154021,-0.209057972859743,-0.014754760566038,-0.0602519118628538,-0.203450186319815,0.35808923394307,NA,0.462377453570459,0.039345594199517,1.9529971064548
2001,0.0635724011956715,NA,1.99664417344763,0.0289988293782937,0,NA,3222.62295081967,18602.9508196721,17915.0983606557,1114.45901639344,80.045621529261,67.1112703526476,69.2935649492995,75.8743798694103,21.3733035598482,NA,20.8965476217724,22.6048264424006,21.1583333333333,-0.618091191253011,-0.747567208543957,-0.708898933391623,-0.536774260896603,-0.163704366918664,-0.362114839357813,-0.0486827623787175,0.494993684077455,0.996844135484579,NA,0.802928659313009,1.40614787724486,-0.941791558658485
2002,0.0997747221790709,NA,0.900755926420182,0.0403348761440279,0,NA,2362.13114754098,17955.737704918,14503.9836065574,176.032786885246,77.4571483421551,59.0767045454545,57.5771802919264,21.3473048127874,20.454249813267,NA,20.1589285986764,21.5674996217092,24.1,-0.731886355190571,-0.778923187749276,-0.787197819402583,-0.599968440805611,-0.422497209742178,-1.3418592659383,-1.12563205690887,-2.09852692139408,0.308654697431105,NA,0.308191409552315,0.826700641531325,1.92136450406213
2003,0.163196627776615,0.00519191919191919,1.37242527505163,0.0425318560270197,0,1.58334567804718,2426.55737704918,22265.5737704918,18865.3114754098,1132.81967213115,81.7728458000059,69.2512940996696,70.638327306279,46.7879845757733,20.0007153431281,20.2744999957085,18.8817856470744,20.4857141858055,22.6375,-0.723366351489397,-0.570121593699669,-0.68708769755769,-0.535537843429304,0.00898170974091094,-0.101157820744868,0.0749254080604859,-0.888468851820575,-0.0309528971233865,-0.0687439083076557,-0.548416367148997,0.22241897449442,0.497897396392254
2004,0.0472703084366031,0,0.624165313352495,0.108188572409183,0.00694444444444444,0.786568638642725,3060.65573770492,35437.7049180328,39434.1147540984,8782.08196721311,81.6749626423455,62.6344260977863,62.3119333282769,56.8191639510425,21.2627976582164,20.5200001080831,20.3094049499148,21.9989584783713,NA,-0.639510437198964,0.0680377095291595,-0.21495043469812,-0.0204319752781898,-0.000804546018521796,-0.908026505603972,-0.690421956576144,-0.411346791267619,0.914097076753245,0.186764474584511,0.409119197251252,1.06771209214661,NA
2005,0.371197074846094,NA,1.0152536409467,0.200070639362108,0,NA,9046.39344262295,26318.0327868852,34301.4426229508,1555.54098360656,88.7439963250619,78.6026606862916,83.2003624791922,63.1319026460362,18.8263218548106,NA,18.3934523434866,17.7379612675735,21.2666666666667,0.152069448655891,-0.373789322687639,-0.33276602845541,-0.507071539133069,0.705950050427859,1.03915884527229,1.2296053979171,-0.11108828913043,-0.910341287394638,NA,-0.875952219694554,-1.31246646482361,-0.836349550682937
2006,0.145121296572984,NA,0.233528186437313,0.386440441818984,0.0037037037037037,NA,19687.7049180328,72445.9016393443,146890.524590164,49369.8032786885,92.3906812381389,74.7303145026543,73.0758416888115,58.619824425863,19.5148438552252,NA,18.575119127546,19.6238334205416,22.2944444444444,1.55932257906452,1.86099928642907,2.25160897225008,2.7127692951064,1.07054179518221,0.566960386481622,0.298977406304113,-0.325700347917126,-0.394774520689909,NA,-0.754104324908445,-0.259024691074725,0.163997704469687
2007,0.185909767044108,NA,3.1017678624877,0.269927473880365,NA,NA,2392.7868852459,16015.2459016393,12677.2131147541,305.245901639344,76.698583759756,68.3741866021525,72.3509115168334,94.1141796097581,21.198892888169,NA,20.6501191593352,19.6969643013818,NA,-0.727832307627926,-0.872935529657424,-0.829129593856679,-0.591267152879491,-0.498337703559989,-0.208113343025234,0.232343110817397,1.3625497819819,0.866245046388894,NA,0.637643687055622,-0.218174029641023,NA
2008,0.112045629637895,NA,3.83861754794426,0.208557451880865,0.0428356204299167,NA,2259.67213114754,11976.5573770492,10902.0655737705,548.950819672131,79.1765190864869,59.9779114101372,57.8368797424357,59.5773206031674,20.5478571210589,NA,19.9401389693457,20.6775000095367,21.0655952380952,-0.745435979397272,-1.06860065217572,-0.869876412707354,-0.574855918889426,-0.250596320441981,-1.23196503841471,-1.1017609440874,-0.28015809092057,0.378748052457006,NA,0.161444408591156,0.329549883667299,-1.03205455229909
2009,0.486374006288176,NA,2.86397260092644,0.143882547126595,0.0159030783165047,NA,1468.3606557377,18185.2459016393,16047.9672131148,639.032786885246,84.6344173984179,78.630004123778,79.2487478965226,80.1033175006444,20.8523213823636,NA,20.8913096155439,21.9045833587646,22.7,-0.850082437070467,-0.767804046187106,-0.751757148206348,-0.568789745690488,0.295078646183992,1.04249313627491,0.866379995072122,0.696138470854851,0.606731551435286,NA,0.799415413701703,1.01499447115639,0.558729324070451
2010,0.47601202033366,0.00190550190550191,3.909364084753,0.0931139069264069,0,4.48039551391856,3594.59016393443,19296.7213114754,20801.6393442623,761.409836065574,91.1940653289226,68.8756790745216,72.3150628190427,52.2615031533381,18.6982611827871,19.6685315945765,18.8900000095368,NA,20.5125,-0.568900635533002,-0.713955632050312,-0.642641137997954,-0.560548802482104,0.950905387721426,-0.146960759728715,0.229047962106895,-0.628126935431257,-1.00623339625601,-0.699415742871643,-0.542906814160359,NA,-1.57038814466655
2011,0.252233798831604,0.0184334766742174,1.21422560553735,0.37125945899094,0.000448119588744589,1.85660045962285,19905.737704918,55893.4426229508,94745.5245901639,18452.737704918,83.4935545605546,80.2123637520885,83.4974347479928,83.3890738579527,17.7041986743609,18.4486111667421,18.0136904659725,16.1488095748992,20.8834848484848,1.58815617937638,1.05907091247743,1.05467022777189,0.63079572841342,0.181016372503488,1.23544793481489,1.25691175390192,0.85242187333681,-1.7505895578065,-1.96906850497484,-1.13066683653927,-2.20016119813417,-1.20930456910274
2012,0.241311314660708,0.00707965119340781,0.712051365531436,0.461443597936455,0.000202922077922078,1.42208885139993,2050,22590.6557377049,23885.3278688525,237.245901639344,85.9362625694835,80.5062245495935,84.1564453894948,99.2959682817569,20.7007841234332,20.1182541014656,20.0062351621333,20.6777381896973,22.0170454545455,-0.773163930373866,-0.554372123901253,-0.571858008819994,-0.595846313285168,0.425235765220183,1.27128166689887,1.31748684307901,1.60901588492382,0.493260123398135,-0.231359458196318,0.205776574133903,0.329682930295289,-0.105997740194972
