"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed"
1995,0.73105862189523,NA,0.209203220921295,1.18697511624178,NA,NA
1996,0.480505928070696,NA,0.0547848225607966,0.0462109759728807,NA,NA
1997,0.0607323523851652,NA,0.198716878726799,0.0371122283556146,NA,NA
1998,0.507443927889108,NA,0.0788356352642067,3.31872486421023,NA,NA
1999,0.0926289434410473,NA,0.0382345278178612,0.0888770179060358,NA,NA
2000,0.612426075396743,NA,0.382224863955789,0.20325980899507,0.150888888888889,NA
2001,0.14064414722353,NA,0.256818472747276,0.0210394582269582,0.0555555555555556,NA
2002,0.0202052679969463,NA,0.0945072885181883,0.000297619047619048,0,NA
2003,0.673515216348047,0.116447907878824,0.514128463307576,0.0467592675181961,0.039,1.38985085505264
2004,0.581137368571552,0.417942050747606,0.280970479961957,0.0416665700371057,0.0973784722222222,1.41909494154044
2005,1.12107698243725,NA,0.209617902965441,0.536423479420993,0.162265151515152,NA
2006,0.749605493716568,NA,1.34070633878174,1.08875294903234,NA,NA
2007,0.026818625748762,NA,0.202637648632547,0.000264550264550265,NA,NA
2008,0.224296808787728,NA,0.409219847007458,0.00118518518518519,0.0298685150706827,NA
2009,0.298468046379023,NA,0.432180993051819,0.072888636936256,0.0186838626011747,NA
2010,0.634889887352487,0.0682500215833549,0.730830858792349,0.953400852630615,NA,NA
2011,4.1341731903384,0.781207767528865,1.94968366538207,7.45236325793653,0.239186852997406,14.5566147341833
2012,0.14304560504418,0.0969600635010688,0.693100482349703,0.0224414210128496,0.00697852290838288,0.962526094816185
2013,0.0617736940206266,0.00503703703703704,0.0963503307346313,0.0184135000801667,0.00432291666666667,0.185897478539128
2014,0.121378196043375,0.00131001371742112,0.822004277150441,0.0851186467853134,0.00687601040621606,1.03668714410277
2015,0.0962213076230323,0.0108225108225108,0.391679304819103,0.00872354497354497,0.00534348456283322,0.512790152801024
2016,0.520016298369869,1.18312314614398,0.898302872540076,0.0174383611160822,0.0535532341598722,2.67243391232988
2017,1.15110136699494,0.978670273485088,0.60973267380846,3.42424288064398,0.00619798889421004,6.16994518382668
2018,0.282232269368324,0.00444444444444444,0.279245294498271,0.0645757020757021,0.00204020915227812,0.632537919539019
2019,5.63363288495441,NA,3.19106107578764,0.642730379188712,0.0939683960433268,NA
