"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","log_Index_Delta","log_Index_Liberty_Island","log_Index_Sacramento","log_Index_San_Joaquin","log_Index_Yolo","Index_Watershed","MeanFlow_SJ","MeanFlow_Sac","MeanFlow_Delta","MeanFlow_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_Liberty_Island","MeanWT_Sacramento","MeanWT_San_Joaquin","MeanWT_Yolo","MeanFlow_SJ_stand","MeanFlow_Sac_stand","MeanFlow_Delta_stand","MeanFlow_Yolo_stand","FlowTiming_SJ_stand","FlowTiming_Sac_stand","FlowTiming_Delta_stand","FlowTiming_Yolo_stand","MeanWT_Delta_stand","MeanWT_Liberty_Island_stand","MeanWT_Sacramento_stand","MeanWT_San_Joaquin_stand","MeanWT_Yolo_stand"
1995,0.00759321436206357,NA,0,4.53223205427974,NA,-4.87918417872798,NA,-11.5129254649702,1.51121675177474,NA,NA,15828.3116883117,41774.025974026,51954.2467532468,1092.85714285714,159.998720031507,161.267456320338,157.764597321769,134.279607843137,18.3370393587997,NA,18.4528182737151,17.7030081935779,NA,2.00438387166259,2.06890652934891,2.18818223775561,1.41673987942379,0.468007923541495,-1.08021281602524,-0.487846189720103,-3.28770301594481,-2.20569564639172,NA,-1.77917120934264,-1.7353644204198,NA
1996,0.0115839742641706,NA,0,0.239400091751282,NA,-4.45726977582119,NA,-11.5129254649702,-1.42957733239718,NA,NA,4880,29270.1298701299,24408.1558441558,430.922077922078,156.471417926336,161.336542727837,153.709267926199,144.604984780447,20.2724835139149,NA,19.8499489533608,18.2351457563221,NA,-0.0367061107689654,0.83433648777821,0.385261842505306,-0.845407167539494,-0.510148398643649,-1.06691534187715,-1.3980388521816,-2.15874435376301,-0.545631146344456,NA,-0.562667764081742,-1.40327990701933,NA
1997,0.109916766245994,NA,0.00387269806912664,1.43098078329849,NA,-2.20794089630731,NA,-5.55122498836977,0.358367059811777,NA,NA,2898.7012987013,15932.3376623377,9858.15584415584,565.285714285714,158.419982078853,172.200376592571,164.847088178026,168.354446665288,21.6459122330321,NA,20.1689297756867,20.8730837747783,NA,-0.406078946193697,-0.482568142875643,-0.567050840897423,-0.386222695647124,0.0302080233860311,1.0241117529551,1.10177343929377,0.437980286880958,0.63238282730912,NA,-0.284926193457849,0.242945476360937,NA
1998,0.326297124634495,NA,0,3.12176734080165,NA,-1.1199162410074,NA,-11.5129254649702,1.13840250013978,NA,NA,16929.8701298701,44783.1168831169,58445.2857142857,1883.57142857143,165.237342743173,162.362062465563,161.39696179377,159.150839452546,19.0414286563706,NA,17.4870281305669,18.675326414762,NA,2.20974703304647,2.3660086052026,2.61302751136789,4.11898679331969,1.92073064821163,-0.869527422974045,0.327414709533111,-0.56832603483787,-1.60152855429549,NA,-2.62009973067226,-1.12858180261851,NA
1999,0.00588477845285398,NA,0.0639353593569863,0.59283861546302,0.0941127508734607,-5.1336883279121,NA,-2.74972632033023,-0.522816198472502,-2.36315548825025,NA,3328.57142857143,18998.7012987013,14530.4155844156,617.961038961039,158.832032774093,168.389910451842,160.671976918993,167.698631864321,20.2045140416843,NA,21.199005190776,21.1852434174231,NA,-0.325938405733822,-0.17981125409785,-0.261246565240977,-0.206206049794094,0.144473822172795,0.290688539436549,0.164696506139241,0.366274643122489,-0.603929758391087,NA,0.611976515494514,0.437751087331874,NA
2000,0.11521335657975,NA,0.25290120798199,4.61556929399808,NA,-2.16088280318286,NA,-1.37471680844722,1.52943738423725,NA,NA,3020.25974025974,18201.2987012987,11925.2077922078,595.077922077922,159.775971792226,168.912736353907,159.742464124342,170.893171253355,20.5420598652812,NA,20.7357551287804,19.6464785919833,24.6525,-0.383416847743412,-0.258542663063826,-0.431760133860846,-0.284408547326895,0.406237598229931,0.391319968516615,-0.0439266765495585,0.715559994817441,-0.314410767408389,NA,0.20861747067134,-0.522526863464783,2.0034314001482
2001,0.0265732138782734,NA,0.0247903138528139,4.19992417744935,NA,-3.62747531960266,NA,-3.69689897053588,1.43506885313065,NA,NA,2034.67532467532,12217.012987013,7327.11688311688,572.545454545455,158.340588498117,170.837845882365,161.271928860593,166.149162999592,22.262581495671,NA,21.1758574563663,21.6731985971309,22.13,-0.567159011353683,-0.849400088754899,-0.732709982119682,-0.361412709199431,0.00819138556417173,0.761857316072615,0.299351869935304,0.196858426432457,1.16131090227917,NA,0.591821422581819,0.742263246892387,-0.425437514508266
2002,0.0568723580023541,NA,0.0824739441371386,4.78440733901653,0,-2.86677003860883,NA,-2.49515162110129,1.56536424925995,-11.5129254649702,NA,1683.63636363636,15305.8441558442,8864.90909090909,550.077922077922,160.078987966677,170.368597004794,159.733988379691,169.583081499669,21.5125554735829,NA,20.4709265164679,21.2954023820454,22.1263157894737,-0.632603084121974,-0.544424872004612,-0.632059877383022,-0.438194957060808,0.490267028634938,0.671538177411379,-0.0458290030533347,0.572317071615761,0.518000388726286,NA,-0.0219729271885212,0.506496631199616,-0.428984973149463
2003,0.0858474391125615,0,0.153183417992942,5.20431796266291,0,-2.45506704294592,-11.5129254649702,-1.87605398609115,1.64949057992947,-11.5129254649702,5.44334881976842,1922.46753246753,26193.5064935065,17813.6753246753,658.493506493507,161.909815577923,161.504338341018,153.118392917159,162.551790785737,21.3600386918861,21.9811929924618,19.7296545658548,21.5831518110055,23.6102564102564,-0.588077871461638,0.530566605301995,-0.0463537890516364,-0.0676873240279928,0.997973924550233,-1.03461871640184,-1.53065695670531,-0.196471962044565,0.387184061999805,1.23593232563823,-0.667409961056265,0.6860688617422,0.999874192366965
2004,0.110996442016929,0,0.222150273852187,4.29641381974912,0,-2.19816704316529,-11.5129254649702,-1.50435620330436,1.45778300684451,-11.5129254649702,4.62956053561824,1639.09090909091,16070.1298701299,8176.33766233766,568.272727272727,161.197527929641,172.226604170034,164.415824568203,169.541947574102,21.514156268325,20.6464544142642,20.6641875917254,21.5404791041267,22.5,-0.640907677891683,-0.468963252824682,-0.677127595929915,-0.376014651133762,0.800449401385533,1.02915993169107,1.00497908920302,0.567819560109847,0.519373418537657,-0.362269509960553,0.14630250138135,0.659438632847544,-0.069171310970944
2005,0.102092730452438,NA,0.0578674000651514,5.19807469880916,0,-2.28177581124611,NA,-2.84942829762736,1.64829023058619,-11.5129254649702,NA,8648.44155844156,31836.3636363636,31853.2337662338,990.818181818182,159.514603637019,159.616300889288,153.578009368455,156.136211710118,20.2049535909217,NA,19.7985066324682,18.4413100053747,21.3190476190476,0.665843152833515,1.08771313943418,0.872549961688566,1.0680242022869,0.333757582112638,-1.39802057957307,-1.42749899326762,-0.897940161637478,-0.603552749277679,NA,-0.607459394177478,-1.27462153159074,-1.20628866589058
2006,0.179153711453645,NA,0.00878185626102293,1.4667751845483,0,-1.71945530199667,NA,-4.73392941085171,0.383073056637914,-11.5129254649702,NA,15446.8831168831,30266.2337662338,38518.8831168831,716.051948051948,156.350148392901,158.399871272259,152.702522021582,161.176327626233,20.6118341068327,NA,19.7452077692892,20.8737232586309,NA,1.93327427428172,0.932686635460463,1.30882366751252,0.129017255464273,-0.54377765899089,-1.6321540650289,-1.62399651084825,-0.34686269914419,-0.254564172965817,NA,-0.653867544560453,0.243344551147031,NA
2007,0.294605594748402,NA,0.0799183935238357,0.172132930176085,0,-1.22208384102401,NA,-2.52662412608446,-1.75943015785337,-11.5129254649702,NA,1897.14285714286,13488.8311688312,7486.38961038961,617.415584415584,158.712760131435,173.83052838327,163.200847598759,168.141961675186,21.6185006621077,NA,21.101868187276,20.2919506018292,20.2,-0.592799141972114,-0.723827338265681,-0.722285415913361,-0.208070127487839,0.111398319706296,1.33787682019417,0.732285304117376,0.414747549556559,0.608871440704674,NA,0.527397813486449,-0.119715122083641,-2.28379906268943
2008,0.0541696893723899,NA,0.047517040802011,2.49926899975759,0,-2.91544917559393,NA,-3.04645644987762,0.916002290181886,-11.5129254649702,NA,1456.92207792208,11126.1038961039,6491.36363636364,624.61038961039,157.143631388,171.038904646847,162.197295107385,169.40388813806,21.5041598700434,NA,20.5397990005362,21.1155000566771,22.089530083372,-0.674869350430374,-0.957110811118774,-0.787410904255635,-0.183482055051306,-0.323736850162821,0.80055629926937,0.50704438656302,0.552724382746128,0.510799331875529,NA,0.0379954174863169,0.394227209978041,-0.464405253844817
2009,0.114095071788729,NA,0.146800299918536,3.74009132880678,0,-2.17063557271874,NA,-1.91861400233022,1.31911270432327,-11.5129254649702,NA,1227.37662337662,14871.4285714286,8696.97402597403,585.753246753247,156.574395818343,168.845140162431,158.111857087179,169.484845797397,21.7517493697457,NA,21.5316923750678,21.9609826247489,22.8780952380952,-0.717663430570202,-0.587316820374512,-0.643051402628776,-0.316275399329477,-0.481591594290337,0.378309325161586,-0.409905963510782,0.561576151677506,0.723161201348186,NA,0.901652428980109,0.921857068991883,0.294889648628326
2010,0.0225197504602677,0,0.198790421934767,9.04903271822011,NA,-3.79291860048624,-11.5129254649702,-1.61545386235363,2.2026589751248,NA,NA,3687.14285714286,18223.3766233766,14148.5194805195,586.207792207792,159.530344123138,166.930230900798,158.639749374906,171.082192387789,20.0856301813076,20.2281142658845,20.1422923722802,20.3440286526232,21.4,-0.259090057634209,-0.256362803206462,-0.2862420637621,-0.314722001251357,0.338122577100937,0.00973528398278181,-0.291423926667186,0.73622723518545,-0.705898536833203,-0.863185572451202,-0.308119795523034,-0.087215416429399,-1.12834110527109
2011,0.0441561280354384,0,0.142423470819304,3.96097449453104,0,-3.11979711772237,-11.5129254649702,-1.94888025973532,1.37649260409817,-11.5129254649702,4.14755409338578,10663.8961038961,33729.8701298701,36769.3116883117,602.441558441558,165.0018145947,163.405167103034,160.368915777803,169.309541260671,19.0688720922786,19.5255396168099,19.4846354660809,18.5087995384015,22.5001343726266,1.04158365053648,1.27466817896577,1.19431239177729,-0.259243498461346,1.85541632564665,-0.668754833218391,0.0966763775426442,0.542408660121659,-1.57798983653407,-1.7044410153803,-0.880751907784664,-1.2325041726521,-0.069041926037053
2012,0.0185724050167817,0,0.11764564377238,0.199001795896637,0,-3.98554011281167,-11.5129254649702,-2.13999319409337,-1.61439118015189,-11.5129254649702,0.335219844685799,1813.2987012987,14766.6233766234,8122.45454545455,630.896103896104,158.303866097519,173.387641487032,165.929202195613,169.256654109801,21.5625481327819,20.5300870375392,20.3339428411435,21.3082496895542,22.5867007283338,-0.608430179108337,-0.59766474334447,-0.680654302158717,-0.162000778771013,-0.00199210517173263,1.25263172978579,1.34464698732903,0.536626071509574,0.560879971988736,-0.501606574254339,-0.141246747028253,0.514514091648308,0.0143112277517606
2013,0.00739194667766096,0,0.117423540965208,1.48087885492457,0,-4.90601224881865,-11.5129254649702,-2.14188271422167,0.392642485153181,-11.5129254649702,1.60569434256744,990.12987012987,14153.2467532468,7798.16883116883,636.519480519481,155.274672088143,170.703798862177,162.04514546372,168.808944748225,22.1683247778646,20.8600963583359,20.7185267657629,22.3415269553458,23.9158946437712,-0.761893261178088,-0.658226379264063,-0.701879140561507,-0.142783025404553,-0.842018046542938,0.736056484185222,0.472895375286293,0.487674312657622,1.08046525725865,-0.106456909085986,0.193616466633353,1.15933866717469,1.29416763320528
2014,0.00542686566905317,0,0.12893551265203,10.5998651949115,0,-5.21455254793741,-11.5129254649702,-2.0483653463915,2.36084222698376,-11.5129254649702,10.7342275732326,588.025974025974,8113.11688311688,4643.28571428571,680.766233766234,151.244334997129,170.802580397304,167.232806482199,169.530342051546,22.8874594315797,22.0473453071749,22.8236704060285,21.6874173212999,22.7728020993344,-0.83685735222699,-1.25459756812376,-0.908369532785626,0.00842918179990328,-1.95967102566632,0.755069557193629,1.63723260508423,0.566550632563806,1.69727970071916,1.3151424065714,2.02659782511417,0.751136550390247,0.193504819425981
2015,0.00562008453389502,0,0.221762503251661,4.88526773621369,0,-5.17963082204184,-11.5129254649702,-1.50610318266316,1.58622613878413,-11.5129254649702,5.11265032399925,212.402597402597,7482.07792207792,5229.45454545455,612.480519480519,157.941485784164,167.430951885024,164.687072228238,167.326837853311,22.1701834859932,20.1288844985985,22.4642717587866,23.9120197465097,22.4128782448137,-0.90688468913699,-1.31690309192925,-0.870004171099205,-0.224935592336002,-0.102483807888148,0.106112047287867,1.06585888608049,0.32562333597643,1.08205950391886,-0.982002244729184,1.71366382476509,2.1394166974928,-0.153059248716135
2016,0.0252218491161839,0,1.75606315830806,3.90715697883429,0,-3.67964822863888,-11.5129254649702,0.56308015625173,1.36281255353549,-11.5129254649702,5.68844198625853,841,15298.7012987013,9102.50649350649,629.168831168831,152.704186420001,170.551443123939,164.301976193228,171.780539157,21.7227562631843,22.3193331249237,21.3701335220992,21.6908547877099,22.019266908131,-0.789695491573881,-0.545130120781994,-0.616508879442331,-0.16790369146787,-1.55483955499644,0.706731663806448,0.979426551929808,0.812583249991904,0.698293303805717,1.64081773857052,0.76098061916873,0.753281727577525,-0.532060374632873
2017,0.0115308026313461,0,0.0195694487716268,2.3263297659131,0,-4.4618664682111,-11.5129254649702,-3.93327479489982,0.844296116478327,-11.5129254649702,2.35743001731607,13540,27668.8311688312,31515.3636363636,674.376623376623,161.036179477834,156.901900962215,152.940100128447,164.464344175477,19.728286745616,21.0309986984521,20.1338634635172,18.6207207187525,24.12298035613,1.5777747106647,0.676232534594093,0.850436009109992,-0.0134071568982455,0.755705854191582,-1.92047737193475,-1.57067362914451,0.012643281819368,-1.01239828798782,0.098179742722318,-0.31545897767641,-1.16265890458948,1.49356666171577
