"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed","MeanDischarge_SJ","MeanDischarge_Sac","MeanDischarge_Delta","MeanDischarge_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_Liberty_Island","MeanWT_Sacramento","MeanWT_San_Joaquin","MeanWT_Yolo","MeanDischarge_SJ_scaled","MeanDischarge_Sac_scaled","MeanDischarge_Delta_scaled","MeanDischarge_Yolo_scaled","FlowTiming_SJ_scaled","FlowTiming_Sac_scaled","FlowTiming_Delta_scaled","FlowTiming_Yolo_scaled","MeanWT_Delta_scaled","MeanWT_Liberty_Island_scaled","MeanWT_Sacramento_scaled","MeanWT_San_Joaquin_scaled","MeanWT_Yolo_scaled"
2005,0.035118403985228,NA,0.117328151320981,0.00170068027210884,NA,NA,10238.8524590164,31324.5901639344,40624.0163934426,1353.06557377049,88.7439963250619,78.6026606862916,83.2003624791922,63.1319026460362,21.8950000160042,NA,21.264880952381,NA,NA,0.330175772995664,0.235990837641616,0.155347049971712,-0.262308356564279,0.705950050427859,1.03915884527229,1.2296053979171,-0.11108828913043,-0.15456597723503,NA,-0.145142788762822,NA,NA
2006,0.210174089301212,NA,0.0118031048799189,0.00448051948051948,NA,NA,26980.3278688525,64686.8852459016,129577.524590164,33085.9344262295,92.3906812381389,74.7303145026543,73.0758416888115,58.619824425863,22.3912016186143,NA,21.4147620155698,22.245500087738,NA,2.49781066175596,2.06517302607314,2.87095521612256,4.39664706205917,1.07054179518221,0.566960386481622,0.298977406304113,-0.325700347917126,0.353724671004312,NA,-0.00913773432963829,-0.472041742627927,NA
2007,0.0357645981452206,NA,0.139337730414184,0,NA,NA,2567.2131147541,11461.8032786885,10327.2295081967,481.540983606557,76.698583759756,68.3741866021525,72.3509115168334,94.1141796097581,22.6833489941176,NA,21.7686507891095,21.6270835002263,NA,-0.663124559831571,-0.85304263244304,-0.769565340124872,-0.390263828560414,-0.498337703559989,-0.208113343025234,0.232343110817397,1.3625497819819,0.652989683642173,NA,0.311987969508782,-0.800882535804108,NA
2008,0.00876820155761042,NA,0.0180214298430903,0,0,NA,2584.91803278689,9478.85245901639,8866.55737704918,519.475409836066,79.1765190864869,59.9779114101372,57.8368797424357,59.5773206031674,22.3698737748346,NA,21.5466668673924,23.5462498982747,23.3736111111111,-0.660832181346939,-0.961763519629261,-0.814157321349952,-0.384694373070711,-0.250596320441981,-1.23196503841471,-1.1017609440874,-0.28015809092057,0.331877213270876,NA,0.110555348775453,0.219627284462258,-0.281645400810678
2009,0.0130824962296366,NA,0.0414620864500614,0.0243518518518519,0,NA,1827.86885245902,15011.4754098361,13993.8852459016,439.393442622951,84.6344173984179,78.630004123778,79.2487478965226,80.1033175006444,22.240350539638,NA,21.7710714116929,23.8324999332428,23.0166666666667,-0.758852587291683,-0.658421818104149,-0.657628211779636,-0.396451845009863,0.295078646183992,1.04249313627491,0.866379995072122,0.696138470854851,0.19919838105059,NA,0.314184490531627,0.371839709624325,-0.71982916607568
2010,0.0194933276132771,0,0.0328836447342941,0.0094997594997595,0,0.0618767318473307,4677.70491803279,18044.262295082,22610.9508196721,646.081967213115,91.1940653289226,68.8756790745216,72.3150628190427,52.2615031533381,21.6313437306077,22.0778076916455,21.3803572927203,NA,22.7736111111111,-0.389864554172708,-0.492140699309087,-0.394562998110515,-0.36610625520253,0.950905387721426,-0.146960759728715,0.229047962106895,-0.628126935431257,-0.424645766400612,0.534077233673657,-0.040357263363894,NA,-1.01820332530282
2011,0.0258597195930933,0,0.953133016414402,0.0027732683982684,0,0.981766004405763,19403.2786885246,44508.1967213115,65739.8852459016,3928.80327868852,83.4935545605546,80.2123637520885,83.4974347479928,83.3890738579527,20.6622234474673,20.9725877534576,20.5340476978393,19.0476192122414,23.7193181818182,1.51675757324014,0.958819355128044,0.922094308605692,0.115856227075333,0.181016372503488,1.23544793481489,1.25691175390192,0.85242187333681,-1.41737689493433,-1.25543175563354,-0.808315403439985,-2.17250338097516,0.142743403326421
2012,0.00785943106332373,0.000231481481481481,0.332743879505469,0,0,0.340834792050274,2749.67213114754,19760.8196721311,20012.0491803279,380.065573770492,85.9362625694835,80.5062245495935,84.1564453894948,99.2959682817569,21.9484170918742,21.4564236932331,20.5827975012007,22.3869048171573,22.92,-0.639500326003832,-0.398025586071082,-0.473903303601538,-0.405162242337967,0.425235765220183,1.27128166689887,1.31748684307901,1.60901588492382,-0.0998474918891413,-0.472032240603369,-0.764078863354692,-0.396850287029691,-0.8384968316883
2013,0.0557511821209886,0.00347222222222222,0.0481404297128503,0.0598666450707267,0,0.167230479126788,2241.52459016393,11879.3442622951,11443.8524590164,490.44262295082,78.0664426717011,63.7446748009513,63.1289766991731,74.7808487684804,22.9385806714373,21.7908335208893,21.3065477098737,24.3172620251065,23.9825,-0.705293711085452,-0.830149767060823,-0.735476629457594,-0.388956907933401,-0.361580599732495,-0.772641469853785,-0.615320779240395,0.442981074927953,0.91443961454447,0.0694250495036583,-0.10733354521802,0.62961020609762,0.4658244929332
2014,0.00980920679797124,0,0.232350534008697,0.0178571428571429,0,0.260016883663811,1654.55737704918,7661.31147540984,6012.91803278689,375.016393442623,88.6160500612598,72.7167115504961,70.7563216354266,95.979512750332,23.6073923406147,22.125227282264,23.3307142734528,24.761666615804,23.0148148148148,-0.781292425569029,-1.06141534471471,-0.901274361066814,-0.40590355274887,0.693158116749373,0.321419268633428,0.0857712374908166,1.45127230984761,1.59954565831388,0.610856326005503,1.7294354088064,0.865920746673701,-0.722102493003126
2015,0.0174447865412106,0.00635193930648476,0.00297619047619048,0,0,0.0267729163238858,602.459016393443,6838.85245901639,6356.13114754098,526.803278688525,66.1618020420464,64.6262655269133,68.5783306391005,73.593782323203,23.9344731812581,21.0534723069933,24.4208731151762,25.0866667429606,23.3,-0.917514894445637,-1.10650898649822,-0.890796614252208,-0.383618510234109,-1.55179412278049,-0.665139257411507,-0.114425831449755,0.386519559567119,1.93459522615644,-1.12446810699955,2.71866720003432,1.03873839379819,-0.37201014617661
2016,0.0368940583859166,0.048146214055305,0.0268707482993197,0.0111886294922009,0,0.123099650232742,1863.2131147541,16332.7868852459,16442.5409836066,599.901639344262,81.9323071397619,70.5399878365838,70.9916174940334,75.9667883610835,22.6045055409729,22.3439394054991,21.9546427806218,24.5804165919622,23.45,-0.754276320613102,-0.585977179321003,-0.582874673080544,-0.372886357239907,0.0249244877621369,0.0559870127918157,0.10739921543306,0.499388992775492,0.572225353786021,0.964982502231865,0.480760797720618,0.769541699269463,-0.187870665053571
2017,0.00652557561273342,0.00225848225848226,0.126423192383014,0,0,0.135207250254229,21319.6721311475,57685.2459016393,85730.3770491803,8442.18032786885,78.4085194456649,71.3731388148534,63.219753511169,47.2330045422242,21.8978649323305,21.7666667302449,21.811785697937,19.3333332538605,25.3,1.76488631847489,1.68128834587113,1.53237201307015,0.778501087750763,-0.327380121535933,0.157582425294251,-0.606976735706694,-0.86730196451481,-0.151631262455783,0.0302955625966017,0.351129442742582,-2.02057596834603,2.08318293546386
2018,0.0601734658088825,0,0.0857432030051078,0.0211940836940837,0,0.167110752508074,6146.88524590164,22976.7213114754,27057.1475409836,573.918032786885,91.6119059950796,77.7101200361182,81.209637239873,96.9818087628763,22.7250833393468,21.4083333015442,23.017222266727,24.3055553038915,23.5194444444444,-0.19963959140164,-0.221704682968231,-0.25882773179584,-0.376701217633675,0.992680660643202,0.930321386162675,1.04662146517817,1.49894542194131,0.695740809956128,-0.549897455709511,1.44496653373986,0.623385199253401,-0.10262090527439
2019,0.282583846400513,0.0925925925925926,0.084992784992785,0.00607142857142857,0,0.466240652557319,11463.2786885246,49863.9344262295,67607.6393442623,5343.65573770492,90.2971595537692,78.2630782952651,78.7728485707009,69.1826501194249,21.7734750499725,21.1500000953674,22.2986608090855,21.2649997075399,24.490625,0.48871072578936,1.25246282275154,0.979113850439309,0.323581994358941,0.861233686097082,0.997749768172538,0.822636173219315,0.176708887491324,-0.279051677072711,-0.968175826119536,0.792929591374371,-0.993419288516954,1.08959698523749
