"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed"
1995,0.00852614358500602,NA,0,5.89407446774976,NA,NA
1996,0.0115839742641706,NA,0,0.239400091751282,NA,NA
1997,0.109916766245994,NA,0.00387269806912664,1.43098078329849,NA,NA
1998,0.326297124634495,NA,0,3.12176734080165,NA,NA
1999,0.00588477845285398,NA,0.0639353593569863,0.59283861546302,0.0947079889686988,NA
2000,0.11521335657975,NA,0.25290120798199,4.61556929399808,NA,NA
2001,0.0265732138782734,NA,0.0247903138528139,4.19992417744935,NA,NA
2002,0.0568723580023541,NA,0.0824739441371386,4.78440733901653,0,NA
2003,0.0858474391125615,0,0.153183417992942,5.20431796266291,0,5.44334881976842
2004,0.110996442016929,0,0.222150273852187,4.29641381974912,0,4.62956053561824
2005,0.102092730452438,NA,0.0578674000651514,5.19807469880916,0,NA
2006,0.179153711453645,NA,0.00878185626102293,1.4667751845483,0,NA
2007,0.294605594748402,NA,0.0799183935238357,0.172132930176085,0,NA
2008,0.0541696893723899,NA,0.047517040802011,2.49926899975759,0,NA
2009,0.114095071788729,NA,0.146800299918536,3.74009132880678,0,NA
2010,0.0225197504602677,0,0.198790421934767,9.04903271822011,NA,NA
2011,0.0441561280354384,0,0.142423470819304,3.96097449453104,0,4.14755409338578
2012,0.0185724050167817,0,0.11764564377238,0.199319256214097,0,0.335537305003259
2013,0.00739194667766096,0,0.117423540965208,1.48087885492457,0,1.60569434256744
2014,0.00542686566905317,0,0.12893551265203,10.5998651949115,0,10.7342275732326
2015,0.00562008453389502,0,0.221762503251661,4.88526773621369,0,5.11265032399925
2016,0.0252218491161839,0,1.75606315830806,3.90715697883429,0,5.68844198625853
2017,0.0115308026313461,0,0.0195694487716268,2.3263297659131,0,2.35743001731607
2018,0.0370017415069498,0,1.06033624939875,0.689940459870817,0,1.78727845077652
2019,0.0246969017975654,0,0.0400793650793651,3.32980291818403,0,3.39457918506096
