"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","log_Index_Delta","log_Index_Liberty_Island","log_Index_Sacramento","log_Index_San_Joaquin","log_Index_Yolo","Index_Watershed","MeanFlow_SJ","MeanFlow_Sac","MeanFlow_Delta","MeanFlow_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_Liberty_Island","MeanWT_Sacramento","MeanWT_San_Joaquin","MeanWT_Yolo","MeanFlow_SJ_stand","MeanFlow_Sac_stand","MeanFlow_Delta_stand","MeanFlow_Yolo_stand","FlowTiming_SJ_stand","FlowTiming_Sac_stand","FlowTiming_Delta_stand","FlowTiming_Yolo_stand","MeanWT_Delta_stand","MeanWT_Liberty_Island_stand","MeanWT_Sacramento_stand","MeanWT_San_Joaquin_stand","MeanWT_Yolo_stand"
1995,0.0132168865636128,NA,0.125560134310134,NA,NA,-4.32550366009863,NA,-2.07489083737815,NA,NA,NA,18187.7419354839,51374.1935483871,72909.8064516129,6588.91935483871,146.415744386506,145.333699610699,142.820161144746,126.144428696272,17.9275752083117,NA,17.5652500759619,17.6037618065036,NA,1.89975580697119,2.10539734697317,2.33594251399436,4.38780801620675,0.371536486919966,-1.42412948746528,-1.1362387689668,-2.70446602862214,-1.60270559006576,NA,-1.64500667252167,-1.12219206440156,NA
1996,0.00914448576284616,NA,0.039216767629917,NA,NA,-4.69351127252107,NA,-3.23839591751817,NA,NA,NA,6126.29032258064,31875.8064516129,30910.6935483871,524.838709677419,146.292472948424,148.922734402672,145.043076751286,142.786539643516,19.4789102823171,NA,19.3404637562151,18.2023798172693,NA,-0.0119501755605607,0.690947787179479,0.322744746556729,-0.388648544163683,0.3362737408427,-0.351974529304624,-0.428190085338702,-0.703493465545696,-0.383647233643177,NA,-0.330837137685167,-0.78359364273943,NA
1997,0.000859484319978147,NA,0.00183531746031746,NA,NA,-7.04761025771017,NA,-6.29510395107845,NA,NA,NA,3770.32258064516,13241.4516129032,10416.5322580645,538.5,144.366358658453,153.754388101879,147.028538690822,152.028034863869,20.9085912259403,NA,19.5244049369722,20.4343226568678,NA,-0.385364402260407,-0.660823252539644,-0.659628377615026,-0.377888040865218,-0.214706114505825,1.09138887338737,0.204224257583743,0.407662350945941,0.739813797146254,NA,-0.194667673331843,0.478868075980834,NA
1998,0.0615515288600797,NA,0.0255001084073054,NA,NA,-2.7877181350359,NA,-3.66868049723708,NA,NA,NA,17864.5161290323,51817.7419354839,69289.1290322581,2262.29032258065,150.747201155652,150.98396986958,150.166494022476,153.419415094609,17.1614148940917,NA,15.9998641356502,18.8278209764919,NA,1.8485254304184,2.13757317863363,2.16238790311359,0.979879125632351,1.61058311906344,0.263779831930782,1.20373370154328,0.574955651377742,-2.20476387461015,NA,-2.80384323169329,-0.429823148790512,NA
1999,0.00136663832199546,NA,0.059913761099277,NA,NA,-6.58811075023881,NA,-2.81468217306352,NA,NA,NA,4352.25806451613,18619.3548387097,18261.6129032258,583.790322580645,144.060850874592,148.476437976438,145.032018512303,151.702168807846,19.251048773086,NA,20.5929349816875,20.7661187327379,16.33,-0.293129273217274,-0.270700068883419,-0.283579986388319,-0.34221449510124,-0.302098973504851,-0.485296983371137,-0.43171238350063,0.368481682134962,-0.562703635828491,NA,0.596352386643162,0.6665430633398,-3.02231109160323
2000,0.00149285961227926,NA,0.021326788291074,NA,0,-6.50038557757764,NA,-3.84732254625915,NA,-11.5129254649702,NA,3841.29032258065,18409.6774193548,15846.6612903226,559.806451612903,145.71569533087,148.792798317855,142.913024316713,155.008643540394,20.0194174664093,NA,20.2148550980677,19.4482748088246,23.195,-0.374116215791733,-0.285910462031998,-0.399338983650217,-0.361105721080953,0.171282052684317,-0.390790429861366,-1.1066597572963,0.766037331253452,0.0410900204257973,NA,0.316464353830777,-0.0788736541814727,1.14641675115422
2001,0.0019713130736977,NA,0.00258763227513227,0,0,-6.22399548554058,NA,-5.9531549122712,-11.5129254649702,-11.5129254649702,NA,2579.1935483871,10680.3225806452,8669.45161290323,575.661290322581,142.880432743418,153.500362439216,148.467382689682,151.13249838895,21.5578766782572,NA,20.9401550926555,21.0910540343436,19.7225,-0.574154986513051,-0.846612354698335,-0.743373452480692,-0.348617439212723,-0.639766688526508,1.01550360352764,0.662528475855285,0.299987073378761,1.250030364549,NA,0.853395297472659,0.850337366697463,-0.962236917305393
2002,0.0154583379002291,NA,0.00595509493078937,0,0,-4.16896006036132,NA,-5.1218303089253,-11.5129254649702,-11.5129254649702,NA,2107.74193548387,13395.8064516129,10597.2419354839,530.354838709677,144.038644015917,152.313374431093,147.046891385312,152.190681832005,20.0828457060421,NA,20.0181064306719,19.2942286135884,22.1846153846154,-0.64887873434927,-0.649626063121805,-0.650966187059399,-0.384303689230891,-0.308451416786407,0.660913817707567,0.210070004105296,0.427218290798746,0.0909327184045872,NA,0.170813659727074,-0.16600734817659,0.532867082101399
2003,0.00231991325587385,0.000158730158730159,0.04191380428434,0.00740298061726633,NA,-6.06192424133625,-8.68720981301981,-3.17190149202925,-4.90452267800592,NA,NA,2350.16129032258,31706.4516129032,27502.8870967742,1253.59677419355,147.344108160044,143.999847390375,138.784413835732,136.115731508048,20.1136019788055,19.5455337235662,18.5928925144845,20.0465935898128,22.559649122807,-0.610455951934684,0.678662469636395,0.159393954932753,0.185367772878279,0.637102107982989,-1.82259212557423,-2.42171517715619,-1.50556143005646,0.115101379290911,-0.782027275993039,-0.884255220212628,0.259555513083812,0.760603948288269
2004,0.0333416314253899,0,0.00263897478183192,0.00231481481481481,NA,-3.40064858951442,-11.5129254649702,-5.93358258861977,-6.06411489265703,NA,NA,2055.8064516129,13775.8064516129,9185.06451612903,541.564516129032,145.482347403107,153.244233696288,146.758626381538,153.353634928671,21.1938502184126,20.3462572414487,20.3302919806016,21.4676753328404,22.2991666666667,-0.657110361719528,-0.62206015061561,-0.718657912701839,-0.375474232569222,0.1045310773376,0.938990078980221,0.118251108301269,0.567046540108608,0.963973854083648,-0.000563356262447056,0.401920902476159,1.06336700319677,0.602427623821828
