"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","log_Index_Delta","log_Index_Liberty_Island","log_Index_Sacramento","log_Index_San_Joaquin","log_Index_Yolo","Index_Watershed","MeanFlow_SJ","MeanFlow_Sac","MeanFlow_Delta","MeanFlow_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_Liberty_Island","MeanWT_Sacramento","MeanWT_San_Joaquin","MeanWT_Yolo","MeanFlow_SJ_stand","MeanFlow_Sac_stand","MeanFlow_Delta_stand","MeanFlow_Yolo_stand","FlowTiming_SJ_stand","FlowTiming_Sac_stand","FlowTiming_Delta_stand","FlowTiming_Yolo_stand","MeanWT_Delta_stand","MeanWT_Liberty_Island_stand","MeanWT_Sacramento_stand","MeanWT_San_Joaquin_stand","MeanWT_Yolo_stand"
1995,0,NA,0,0,NA,-11.5129254649702,NA,-11.5129254649702,-11.5129254649702,NA,NA,18187.7419354839,51374.1935483871,72909.8064516129,6588.91935483871,146.415744386506,145.333699610699,142.820161144746,126.144428696272,17.9275752083117,NA,17.5652500759619,17.6037618065036,NA,1.89975580697119,2.10539734697317,2.33594251399436,4.38780801620675,0.371536486919966,-1.42412948746528,-1.1362387689668,-2.70446602862214,-1.60270559006576,NA,-1.64500667252167,-1.12219206440156,NA
1996,0.000102880658436214,NA,0.00485187761973476,0,NA,-9.08917941737317,NA,-5.32633057417119,-11.5129254649702,NA,NA,6126.29032258064,31875.8064516129,30910.6935483871,524.838709677419,146.292472948424,148.922734402672,145.043076751286,142.786539643516,19.4789102823171,NA,19.3404637562151,18.2023798172693,NA,-0.0119501755605607,0.690947787179479,0.322744746556729,-0.388648544163683,0.3362737408427,-0.351974529304624,-0.428190085338702,-0.703493465545696,-0.383647233643177,NA,-0.330837137685167,-0.78359364273943,NA
1997,0,NA,0.000595238095238095,0.00319664902998236,NA,-11.5129254649702,NA,-7.4098886315042,-5.74252880299326,NA,NA,3770.32258064516,13241.4516129032,10416.5322580645,538.5,144.366358658453,153.754388101879,147.028538690822,152.028034863869,20.9085912259403,NA,19.5244049369722,20.4343226568678,NA,-0.385364402260407,-0.660823252539644,-0.659628377615026,-0.377888040865218,-0.214706114505825,1.09138887338737,0.204224257583743,0.407662350945941,0.739813797146254,NA,-0.194667673331843,0.478868075980834,NA
1998,0.000165752171925011,NA,0.000505050505050505,0.00173611111111111,NA,-8.64643566931281,NA,-7.57124559404966,-6.35036418606883,NA,NA,17864.5161290323,51817.7419354839,69289.1290322581,2262.29032258065,150.747201155652,150.98396986958,150.166494022476,153.419415094609,17.1614148940917,NA,15.9998641356502,18.8278209764919,NA,1.8485254304184,2.13757317863363,2.16238790311359,0.979879125632351,1.61058311906344,0.263779831930782,1.20373370154328,0.574955651377742,-2.20476387461015,NA,-2.80384323169329,-0.429823148790512,NA
1999,0.000110229276895944,NA,0.0143207335543645,0.00677360090306519,NA,-9.0261099973352,NA,-4.24534884833607,-4.99324721137027,NA,NA,4352.25806451613,18619.3548387097,18261.6129032258,583.790322580645,144.060850874592,148.476437976438,145.032018512303,151.702168807846,19.251048773086,NA,20.5929349816875,20.7661187327379,16.33,-0.293129273217274,-0.270700068883419,-0.283579986388319,-0.34221449510124,-0.302098973504851,-0.485296983371137,-0.43171238350063,0.368481682134962,-0.562703635828491,NA,0.596352386643162,0.6665430633398,-3.02231109160323
2000,0,NA,0.00519029581529581,0.000793650793650794,0.00740740740740741,-11.5129254649702,NA,-5.2590397674559,-7.12634571939185,-4.90392568886913,NA,3841.29032258065,18409.6774193548,15846.6612903226,559.806451612903,145.71569533087,148.792798317855,142.913024316713,155.008643540394,20.0194174664093,NA,20.2148550980677,19.4482748088246,23.195,-0.374116215791733,-0.285910462031998,-0.399338983650217,-0.361105721080953,0.171282052684317,-0.390790429861366,-1.1066597572963,0.766037331253452,0.0410900204257973,NA,0.316464353830777,-0.0788736541814727,1.14641675115422
2001,0,NA,0.00037202380952381,0.000694444444444444,0.0111111111111111,-11.5129254649702,NA,-7.87002762270369,-7.25810108786922,-4.49891007508743,NA,2579.1935483871,10680.3225806452,8669.45161290323,575.661290322581,142.880432743418,153.500362439216,148.467382689682,151.13249838895,21.5578766782572,NA,20.9401550926555,21.0910540343436,19.7225,-0.574154986513051,-0.846612354698335,-0.743373452480692,-0.348617439212723,-0.639766688526508,1.01550360352764,0.662528475855285,0.299987073378761,1.250030364549,NA,0.853395297472659,0.850337366697463,-0.962236917305393
2002,0.000318980721279572,NA,0.00988992819349962,0,0,-8.01951140685026,NA,-4.61522777504975,-11.5129254649702,-11.5129254649702,NA,2107.74193548387,13395.8064516129,10597.2419354839,530.354838709677,144.038644015917,152.313374431093,147.046891385312,152.190681832005,20.0828457060421,NA,20.0181064306719,19.2942286135884,22.1846153846154,-0.64887873434927,-0.649626063121805,-0.650966187059399,-0.384303689230891,-0.308451416786407,0.660913817707567,0.210070004105296,0.427218290798746,0.0909327184045872,NA,0.170813659727074,-0.16600734817659,0.532867082101399
2003,0.0000435388366422849,0,0.023170695045695,0.00291545189504373,0,-9.83510324886636,-11.5129254649702,-3.76443545680501,-5.83430631619925,-11.5129254649702,0.0261296857773811,2350.16129032258,31706.4516129032,27502.8870967742,1253.59677419355,147.344108160044,143.999847390375,138.784413835732,136.115731508048,20.1136019788055,19.5455337235662,18.5928925144845,20.0465935898128,22.559649122807,-0.610455951934684,0.678662469636395,0.159393954932753,0.185367772878279,0.637102107982989,-1.82259212557423,-2.42171517715619,-1.50556143005646,0.115101379290911,-0.782027275993039,-0.884255220212628,0.259555513083812,0.760603948288269
2004,0,0,0.00686907338693053,0,0,-11.5129254649702,-11.5129254649702,-4.97927131823953,-11.5129254649702,-11.5129254649702,0.00686907338693053,2055.8064516129,13775.8064516129,9185.06451612903,541.564516129032,145.482347403107,153.244233696288,146.758626381538,153.353634928671,21.1938502184126,20.3462572414487,20.3302919806016,21.4676753328404,22.2991666666667,-0.657110361719528,-0.62206015061561,-0.718657912701839,-0.375474232569222,0.1045310773376,0.938990078980221,0.118251108301269,0.567046540108608,0.963973854083648,-0.000563356262447056,0.401920902476159,1.06336700319677,0.602427623821828
2005,0.0148172393981781,NA,0.124048664078426,0.0407441681935188,0.150092592592593,-4.21128928997974,NA,-2.08700072784573,-3.2001971575687,-1.89643626805623,NA,10150.3225806452,34240.3225806452,39442.6290322581,1057.83870967742,149.844959638975,149.601158792218,147.00670267105,146.223508065746,19.0962218239914,NA,18.9620993669967,18.3966078790618,21.2440476190476,0.625847561273456,0.86247422068577,0.731717038605586,0.0311762397809125,1.35248997114579,-0.149308320936736,0.197268993510841,-0.290247842148304,-0.684368574148927,NA,-0.610935786602196,-0.673731737513241,-0.0382867463505336
2006,0.180315005077936,NA,0.0438645096085572,1.00591089911411,NA,-1.71299447243249,NA,-3.12642177427151,0.00590343947489747,NA,NA,21116.1290322581,40366.1290322581,59714.5967741935,2230.75806451613,145.947754353804,143.84920286091,142.307590001364,130.324640112214,19.6185249150363,NA,18.9743287896179,19.7519419380685,18.35,2.36389688316496,1.30685170667274,1.70343947221198,0.955042308691974,0.237664326858879,-1.86759427477244,-1.29950422190158,-2.20185621081263,-0.273936322346795,NA,-0.60188249075601,0.092890657655948,-1.79567886401837
2007,0,NA,0.0258240461588676,0,NA,-11.5129254649702,NA,-3.65606203842514,-11.5129254649702,NA,NA,2344.83870967742,10781.935483871,8650.29032258065,568.096774193548,145.580960242124,153.248863092389,148.469836925108,153.558770086878,20.5453716434449,NA,20.7244729552071,19.448680056802,20.3333333333333,-0.611299565919834,-0.839241164172484,-0.744291935377879,-0.354575734427576,0.132740040876334,0.940373021824144,0.663310205111116,0.591711068820979,0.454391340916933,NA,0.693728381091801,-0.0786444323354039,-0.591312237924329
2008,0,NA,0.032245920773093,0.00222222222222222,0,-11.5129254649702,NA,-3.43405366272756,-6.10475767749151,-11.5129254649702,NA,1927.51612903226,10003.2258064516,7803.27419354839,587.274193548387,142.914874566967,154.30109642051,150.574074571675,153.549504270687,20.4231222958266,NA,20.0110391732002,20.4820908164307,20.4013665105929,-0.677444015167673,-0.895730224265825,-0.78489305435581,-0.339470376196318,-0.629914339132772,1.25470744466396,1.33355728570612,0.590596988760482,0.358326286191817,NA,0.165581853231101,0.505887348944272,-0.54999952120571
2009,0.000280583613916947,NA,0.0328961443884913,0.042282848324515,0.00694444444444444,-8.14361919548966,NA,-3.41409587911959,-3.16313727756634,-4.96837433538175,NA,1630.46774193548,14187.0967741935,12052.2419354839,531.693548387097,144.489044307491,147.089097316962,143.343714661574,152.891551645685,20.7507490711377,NA,20.3417901566583,21.5559186170316,20.7668972332016,-0.724525344757124,-0.59222437943955,-0.581221791305822,-0.383249236133166,-0.179610937904717,-0.899738261578252,-0.969475182752252,0.511487724640813,0.615779472755567,NA,0.410432865203836,1.11328036399121,-0.328033301144244
2010,0,0,0.00635931069958848,0.000568181818181818,NA,-11.5129254649702,-11.5129254649702,-5.05626402567891,-7.45562217442848,NA,NA,4553.54838709677,19162.9032258065,18819.0806451613,489.887096774194,147.86522385945,150.564178099487,146.696227147636,155.566325354756,19.1596467251425,19.192090936218,19.2008503077767,18.055915504561,21.4,-0.261225326142488,-0.231270049721331,-0.256858164523438,-0.416178662992223,0.78617127494454,0.13837513295502,0.0983755469916679,0.833090484125822,-0.634528499590484,-1.12696879429897,-0.434191309992536,-0.866438769716861,0.0564143508993587
2011,0.014653862901969,0.00041378374711708,0.0175733057226564,1.29181980861462,0.0017770231311898,-4.22236911778133,-7.7662872632263,-4.04080536557077,0.256059669605167,-6.32720409874212,1.32623778411755,11790.9677419355,38024.1935483871,44781.7580645161,578.5,148.067793827971,151.375906680806,149.117370300191,153.565087685059,18.0355932914158,18.5016025203205,18.2918639638796,16.6882063798874,21.1777973646541,0.885885181181092,1.13696331550552,0.987644411942507,-0.34638149047538,0.84411797755441,0.380863398905775,0.86956416836718,0.592470668409344,-1.51782363963529,-1.80084906878219,-1.1071030693034,-1.64006091702752,-0.0785167944321025
2012,0,0,0.134372249278499,0.00158730158730159,0.0104115823412698,-11.5129254649702,-11.5129254649702,-2.00706693343629,-6.43943958142843,-4.56387639801797,0.146371133207071,2305.48387096774,14010.1612903226,10733.5322580645,579.516129032258,146.329718763117,149.908419004639,145.83936232398,153.908739215141,20.7674400593324,20.1571716069086,20.0331626180202,20.6940052493455,21.5724307692308,-0.617537196597918,-0.605059611196467,-0.644433206856343,-0.345581122461444,0.346928193539924,-0.0575202555410387,-0.17455519705084,0.633789782621047,0.628895458448567,-0.185100962355506,0.181959575818234,0.625753258793164,0.16112184523882
2013,0,0,0.0101008535253327,0,0.00196961492220343,-11.5129254649702,-11.5129254649702,-4.59414582564256,-11.5129254649702,-6.22485293692575,0.0120704684475361,1581.6935483871,12274.3548387097,9043.3064516129,607.225806451613,138.490949880182,152.560032062654,148.663959264114,151.511474713132,21.045384838076,20.0339745415582,20.2143086002028,20.7582692749301,22.508145711501,-0.732255916548322,-0.730978265861863,-0.725452985246769,-0.323755213763968,-1.89541213263832,0.734598030309058,0.725142541971779,0.34555348194008,0.847307915453486,-0.305334800175947,0.316059787973193,0.662103146770607,0.7293288274276
2014,0.00198412698412698,0,0,0.00222978080120937,0.000661375661375661,-6.21754892635734,-11.5129254649702,-11.5129254649702,-6.10137727450642,-7.30618172463296,0.00487528344671202,971.225806451613,7274.03225806452,4773.08064516129,611.709677419355,136.530955227846,154.817734317834,152.949761937749,154.234324737647,21.9041975951811,21.8131578494747,22.1055601756621,20.2610022496705,22.3700491567082,-0.829013327833066,-1.09371104154822,-0.930143238581683,-0.3202234310993,-2.45608372707608,1.40904305724404,2.09026721536424,0.672936721343878,1.52217363962495,1.43105426630296,1.71613079397493,0.380832241335988,0.645470567711135
2015,0,0.005,0.00312369845897543,0,0,-11.5129254649702,-5.29631936388536,-5.76554135570308,-11.5129254649702,-11.5129254649702,0.00812369845897543,267.838709677419,7097.74193548387,5353.08064516129,599.983870967742,144.932072744791,150.437940280871,148.807382544269,151.433264335063,21.6337274758313,20.0323929841178,21.751314173769,23.126145349495,21.5139670781893,-0.940498194173727,-1.10649947209545,-0.902341348865481,-0.329459423895031,-0.0528792348227117,0.100664018134105,0.77082608677948,0.33614981787602,1.30963486274763,-0.30687831681937,1.45388669981094,2.00145326173573,0.125620138518507
2016,0,0,0.00209263392857143,0,0.000815237377975835,-11.5129254649702,-11.5129254649702,-6.16456446846865,-11.5129254649702,-7.09983948213638,0.00290787130654726,1316.6935483871,13553.2258064516,9663.61290322581,555.758064516129,140.588166840203,152.586957039153,147.602718211315,153.390051368372,21.0616758779476,21.7856654585548,21.0616082643265,21.1704014988573,21.6795626702934,-0.77425766738476,-0.638206567957948,-0.695719034284716,-0.364294488882506,-1.29548703822215,0.742641348004508,0.38711336612894,0.571425089014882,0.860109616790004,1.40422314283621,0.943305633278824,0.895218953559282,0.226177014766443
