"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed","MeanDischarge_SJ","MeanDischarge_Sac","MeanDischarge_Delta","MeanDischarge_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_Liberty_Island","MeanWT_Sacramento","MeanWT_San_Joaquin","MeanWT_Yolo","MeanDischarge_SJ_scaled","MeanDischarge_Sac_scaled","MeanDischarge_Delta_scaled","MeanDischarge_Yolo_scaled","FlowTiming_SJ_scaled","FlowTiming_Sac_scaled","FlowTiming_Delta_scaled","FlowTiming_Yolo_scaled","MeanWT_Delta_scaled","MeanWT_Liberty_Island_scaled","MeanWT_Sacramento_scaled","MeanWT_San_Joaquin_scaled","MeanWT_Yolo_scaled"
1995,0.00852614358500602,NA,0,5.89407446774976,NA,NA,5529.49152542373,60298.3050847458,91042.6949152542,28963.2372881356,98.6708006256628,76.4064699809154,75.8872362957325,65.2910595874238,13.5603282634859,NA,12.4365141095696,14.2064824554655,NA,-0.0719191048965217,1.23912707878962,0.673894417141428,0.526470007453476,1.69842156525837,0.771352761541695,0.557395811563975,-0.00839035398315345,-0.972158558571575,NA,-1.23254972115497,-0.984297096887757,NA
1996,0.0115839742641706,NA,0,0.239400091751282,NA,NA,6801,53363.3333333333,77948.95,18871.8833333333,82.6094583278241,74.0669225794912,72.0811086494336,56.9715907066667,NA,NA,13.5992625020169,15.0397498834701,NA,0.0994289086766691,0.888768992441852,0.434625520803898,0.142088346090131,0.0926253555373385,0.486065593289972,0.207543309837356,-0.404096779578452,NA,NA,-0.387395204850814,-0.426899437789308,NA
1997,0.109916766245994,NA,0.00387269806912664,1.43098078329849,NA,NA,32598.3050847458,72976.2711864407,194224.254237288,76691.4745762712,46.7518977669959,44.3535311726609,31.8334832090169,15.4471751400678,14.5431724097161,NA,14.3024403958093,16.3878572259631,NA,3.57586423741942,1.87962398366412,2.5593853886821,2.34444797403021,-3.49237605783572,-3.13722038435226,-3.49194702716638,-2.37916012728789,-0.13096250009063,NA,0.123716207183176,0.474890133799353,NA
1998,0.326297124634495,NA,0,3.12176734080165,NA,NA,16511.5254237288,65823.7288135593,142825.915254237,55219.3389830508,82.4589647777722,73.3930418326255,68.8407559473376,50.1796982329346,13.8906481490076,NA,12.7738095238095,15.8834722222222,NA,1.40801573713834,1.51827412556648,1.62015647276442,1.52657009666041,0.0775791677543123,0.403891780570621,-0.0903041626212307,-0.727145706418547,-0.689444573038313,NA,-0.987383402693264,0.137491825740243,NA
1999,0.00588477845285398,NA,0.0639353593569863,0.59283861546302,0.0495189976910193,NA,8036.27118644068,49994.9152542373,66867.7118644068,6796.27118644068,73.67928791385,66.8845734969089,65.6094407683897,62.5666356281168,13.360327378625,NA,13.3351190396718,14.0625,14.4426041666667,0.265893598651578,0.718594901686403,0.232132220688676,-0.317874100950302,-0.800203745356186,-0.389758521202383,-0.387320921983309,-0.137974595741321,-1.14333519596928,NA,-0.579390344644823,-1.08061129438365,-1.0090053955111
2000,0.11521335657975,NA,0.25290120798199,4.61556929399808,0.00461073317528976,NA,4757,42721.6666666667,56609.8166666667,11632.9166666667,79.5919900005208,69.9598575312296,69.1677014511726,61.1900541448935,14.9100050972013,NA,14.9185517099169,14.872261880693,16.9234166666667,-0.176019778254275,0.351146907950324,0.0446842996703004,-0.133645321200676,-0.209057972859743,-0.014754760566038,-0.0602519118628538,-0.203450186319815,0.183002040491042,NA,0.57154246353095,-0.538937203262268,0.4669069471342
2001,0.0265732138782734,NA,0.0247903138528139,4.19992417744935,NA,NA,2750.33898305085,18935.593220339,17278.9322033898,539.813559322034,80.045621529261,67.1112703526476,69.2935649492995,75.8743798694103,15.4057737725122,NA,15.5125736427956,18.1190972708994,NA,-0.446436677586055,-0.850536887327665,-0.674029664777238,-0.556183805250864,-0.163704366918664,-0.362114839357813,-0.0486827623787175,0.494993684077455,0.607320237012242,NA,1.00331284706123,1.63296870011972,NA
2002,0.0568723580023541,NA,0.0824739441371386,4.78440733901653,0,NA,2298.98305084746,28733.8983050847,26059.406779661,3452.18644067797,77.4571483421551,59.0767045454545,57.5771802919264,21.3473048127874,14.9594828002754,NA,14.5992262170428,16.4741815200874,18.85,-0.507261236717129,-0.355521832905273,-0.513579428822465,-0.4452509481081,-0.422497209742178,-1.3418592659383,-1.12563205690887,-2.09852692139408,0.225348987327204,NA,0.339437750055052,0.532635051998605,1.61309115928299
2003,0.0858474391125615,0,0.153183417992942,5.20431796266291,0,5.44334881976842,1896.77966101695,44413.5593220339,41086.593220339,4881.8813559322,81.7728458000059,69.2512940996696,70.638327306279,46.7879845757733,14.5826837415276,15.0658334056536,13.9848214331127,16.3984524309635,14.175,-0.56146201734726,0.436622133270396,-0.23897973729109,-0.390793586962163,0.00898170974091094,-0.101157820744868,0.0749254080604859,-0.888468851820575,-0.0971455651140138,-0.604704462957501,-0.107148098913088,0.481977585278248,-1.16821141875011
2004,0.110996442016929,0,0.222150273852187,4.29641381974912,0,4.62956053561824,1989.83333333333,40466.6666666667,49515.5166666667,15279.9666666667,81.6749626423455,62.6344260977863,62.3119333282769,56.8191639510425,15.9771784381673,15.9120833277702,15.5445237772805,17.477604145805,14.0083333333333,-0.548922138749584,0.237223230531837,-0.0849535802695946,0.00527153221204902,-0.000804546018521796,-0.908026505603972,-0.690421956576144,-0.411346791267619,1.09637371959167,0.223854925548525,1.02653610037371,1.20385464352977,-1.26736659087251
