"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed"
1995,0.0150595765015408,NA,0.125560134310134,NA,NA,NA
1996,0.00914448576284616,NA,0.039216767629917,NA,NA,NA
1997,0.000859484319978147,NA,0.00183531746031746,NA,NA,NA
1998,0.0615515288600797,NA,0.0255001084073054,NA,NA,NA
1999,0.00136663832199546,NA,0.059913761099277,NA,NA,NA
2000,0.00149285961227926,NA,0.021326788291074,NA,0,NA
2001,0.0019713130736977,NA,0.00258763227513227,0,0,NA
2002,0.0154583379002291,NA,0.00595509493078937,0,0,NA
2003,0.00231991325587385,0.000158730158730159,0.04191380428434,0.00740298061726633,NA,NA
2004,0.0333416314253899,0,0.00263897478183192,0.00231481481481481,NA,NA
2005,0.035118403985228,NA,0.117328151320981,0.00170068027210884,NA,NA
2006,0.210174089301212,NA,0.0118031048799189,0.00448051948051948,NA,NA
2007,0.0357645981452206,NA,0.139337730414184,0,NA,NA
2008,0.00876820155761042,NA,0.0180214298430903,0,0.00490196087562476,NA
2009,0.0130824962296366,NA,0.0414620864500614,0.0243518518518519,0,NA
2010,0.0194933276132771,0,0.0328836447342941,0.0094997594997595,0.00102880651177412,0.0629055383591048
2011,0.0258597195930933,0,0.953133016414402,0.0027732683982684,0.0017024166554156,0.983468421061179
2012,0.00785943106332373,0.000231481481481481,0.332743879505469,0,0.000807965290025475,0.341642757340299
2013,0.0557511821209886,0.00347222222222222,0.0481404297128503,0.0598666450707267,0.00291280864197531,0.170143287768763
2014,0.00980920679797124,0,0.232350534008697,0.0178571428571429,0.00127394636015326,0.261290830023965
2015,0.0174447865412106,0.00635193930648476,0.00297619047619048,0,0.00268270502645503,0.0294556213503408
2016,0.0368940583859166,0.048146214055305,0.0268707482993197,0.0111886294922009,0.00855300324434669,0.131652653477089
2017,0.00652557561273342,0.00225848225848226,0.126423192383014,0,0.00622608924261727,0.141433339496847
2018,0.0601734658088825,0,0.0857432030051078,0.0211940836940837,0.00495421970823328,0.172064972216307
2019,0.282583846400513,0.0925925925925926,0.084992784992785,0.00607142857142857,0.0128363393474218,0.479076991904741
