StationCode,RiverMile,RiverKilo,River
Yuba River,,0,NA
YoloBypass,,0,NA
XC001W,1,2,NA
XC001N,1,2,NA
XC001M,1,2,NA
XC001E,1,2,NA
WS001E,1,2,NA
Woodbridge,,0,NA
Wimpy's,,0,NA
Wild,,0,NA
WicklndNet,,0,NA
Wickland,,0,NA
WestSac,,0,NA
WD002W,2,3,NA
WD002E,2,3,NA
WalnutGrv,,0,NA
VordenRd,,0,NA
Vino Farms,,0,NA
Verona,,0,NA
VC002N,2,3,NA
Valejo,,0,NA
U TuolR,,0,NA
U StanisR,,0,NA
U OldRiver,,0,NA
Two Rivers,,0,NA
Turner Cut,,0,NA
TuoluFH,,0,NA
Tuol River,,0,NA
TM001N,1,2,NA
Tiburon,,0,NA
TI001X,1,2,NA
Thornton,,0,NA
ThermByp,,0,NA
TehamFF,,0,NA
TC002M,2,3,NA
TC002E,2,3,NA
SWP,,0,NA
SutterSL,,0,NA
StumpBeach,,0,NA
Steamboat,,0,NA
SS011S,11,18,NA
SS011N,11,18,NA
SS005W,5,8,NA
SR301W,301,484,Sac
SR298W,298,480,Sac
SR297W,297,478,Sac
SR284W,284,457,Sac
SR281E,281,452,Sac
SR277E,277,446,Sac
SR276E,276,444,Sac
SR273W,273,439,Sac
SR263W,263,423,Sac
SR258E,258,415,Sac
SR252W,252,406,Sac
SR246X,246,396,Sac
SR245W,245,394,Sac
SR244E,244,393,Sac
SR243E,243,391,Sac
SR235E,235,378,Sac
SR218E,218,351,Sac
SR211X,211,340,Sac
SR202X,202,325,Sac
SR193E,193,311,Sac
SR187X,187,301,Sac
SR185W,185,298,Sac
SR184E,184,296,Sac
SR172X,172,277,Sac
SR164E,164,264,Sac
SR163W,163,262,Sac
SR156X,156,251,Sac
SR144W,144,232,Sac
SR144A,144,232,Sac
SR139X,139,224,Sac
SR138M,138,222,Sac
SR138E,138,222,Sac
SR137M,137,220,Sac
SR134M,134,216,Sac
SR132W,132,212,Sac
SR131M,131,211,Sac
SR130X,130,209,Sac
SR130W,130,209,Sac
SR130E,130,209,Sac
SR130A,130,209,Sac
SR126X,126,203,Sac
SR121X,121,195,Sac
SR119E,119,192,Sac
SR119A,119,192,Sac
SR094E,94,151,Sac
SR090W,90,145,Sac
SR090M,90,145,Sac
SR080M,80,129,Sac
SR080E,80,129,Sac
SR071E,71,114,Sac
SR062E,62,100,Sac
SR062A,62,100,Sac
SR060E,60,97,Sac
SR060A,60,97,Sac
SR059M,59,95,Sac
SR057E,57,92,Sac
SR055X,55,89,Sac
SR055W,55,89,Sac
SR055M,55,89,Sac
SR055E,55,89,Sac
SR055A,55,89,Sac
SR053M,53,85,Sac
SR050M,50,80,Sac
SR049E,49,79,Sac
SR048M,48,77,Sac
SR047M,47,76,Sac
SR043W,43,69,Sac
SR043M,43,69,Sac
SR043A,43,69,Sac
SR038W,38,61,Sac
SR038M,38,61,Sac
SR038E,38,61,Sac
SR037W,37,60,Sac
SR037M,37,60,Sac
SR037E,37,60,Sac
SR036W,36,58,Sac
SR036M,36,58,Sac
SR036E,36,58,Sac
SR035X,35,56,Sac
SR035W,35,56,Sac
SR035M,35,56,Sac
SR035E,35,56,Sac
SR034W,34,55,Sac
SR028W,28,45,Sac
SR028E,28,45,Sac
SR027X,27,43,Sac
SR027W,27,43,Sac
SR027M,27,43,Sac
SR027E,27,43,Sac
SR026W,26,42,Sac
SR026S,26,42,Sac
SR026N,26,42,Sac
SR026M,26,42,Sac
SR026E,26,42,Sac
SR024E,24,39,Sac
SR017E,17,27,Sac
SR015E,15,24,Sac
SR014W,14,23,Sac
SR014E,14,23,Sac
SR013X,13,21,Sac
SR013W,13,21,Sac
SR013M,13,21,Sac
SR013E,13,21,Sac
SR012X,12,19,Sac
SR012W,12,19,Sac
SR012M,12,19,Sac
SR012E,12,19,Sac
SR008X,8,13,Sac
SR008W,8,13,Sac
SR008M,8,13,Sac
SR008E,8,13,Sac
SP008E,8,13,NA
SP004E,4,6,NA
SP003W,3,5,NA
SP003E,3,5,NA
SP001W,1,2,NA
SP001E,1,2,NA
SP000W,0,0,NA
SP000E,0,0,NA
SnadenIs,,0,NA
SJ087W,87,140,SJ
SJ083W,83,134,SJ
SJ083A,83,134,SJ
SJ079E,79,127,SJ
SJ077E,77,124,SJ
SJ076W,76,122,SJ
SJ075E,75,121,SJ
SJ074W,74,119,SJ
SJ074A,74,119,SJ
SJ072E,72,116,SJ
SJ070N,70,113,SJ
SJ068W,68,109,SJ
SJ065W,65,105,SJ
SJ063W,63,101,SJ
SJ063E,63,101,SJ
SJ058W,58,93,SJ
SJ058E,58,93,SJ
SJ058A,58,93,SJ
SJ056E,56,90,SJ
SJ054M,54,87,SJ
SJ051M,51,82,SJ
SJ051E,51,82,SJ
SJ041N,41,66,SJ
SJ032S,32,51,SJ
SJ031M,31,50,SJ
SJ026S,26,42,SJ
SJ026N,26,42,SJ
SJ024X,24,39,SJ
SJ024S,24,39,SJ
