StationCode,RiverMile,RiverKilo,River
SJ024N,24,39,SJ
SJ024M,24,39,SJ
SJ019N,19,31,SJ
SJ011X,11,18,SJ
SJ011S,11,18,SJ
SJ011N,11,18,SJ
SJ011M,11,18,SJ
SJ005N,5,8,SJ
SJ001S,1,2,SJ
SJ001M,1,2,SJ
ShoreTerm,,0,NA
ShermanIs,,0,NA
Shaffer,,0,NA
SF014E,14,23,NA
SF001E,1,2,NA
Selby,,0,NA
SB019S,19,31,NA
SB018X,18,29,NA
SB018S,18,29,NA
SB018N,18,29,NA
SB018M,18,29,NA
SB013W,13,21,NA
SB010X,10,16,NA
SB009S,9,14,NA
SB001X,1,2,NA
SB001S,1,2,NA
SB001N,1,2,NA
SB001M,1,2,NA
SB000X,0,0,NA
SantaCruz,,0,NA
SanPabloB,,0,NA
SandyBeach,,0,NA
SacSJ,,0,NA
SA010W,10,16,NA
SA009E,9,14,NA
SA008W,8,13,NA
SA008E,8,13,NA
SA007E,7,11,NA
SA004W,4,6,NA
SA003W,3,5,NA
SA003S,3,5,NA
SA001M,1,2,NA
Ryde,,0,NA
RS001S,1,2,NA
RS001N,1,2,NA
RS001M,1,2,NA
RR001N,1,2,NA
RodeoPt,,0,NA
RobertsFry,,0,NA
Rio Vista,,0,NA
Red Bluff,,0,NA
RBDD,,0,NA
RB003X,3,5,NA
PtSanLuis,,0,NA
PtChicago,,0,NA
Princeton,,0,NA
PR001W,1,2,NA
Pittsburg,,0,NA
ParrotDam,,0,NA
Oroville,,0,NA
OR046M,46,74,NA
OR023E,23,37,NA
OR022W,22,35,NA
OR019E,19,31,NA
OR018W,18,29,NA
OR018M,18,29,NA
OR018E,18,29,NA
OR017E,17,27,NA
OR016W,16,26,NA
OR015X,15,24,NA
OR015W,15,24,NA
OR015M,15,24,NA
OR015E,15,24,NA
OR014W,14,23,NA
OR009M,9,14,NA
OR008M,8,13,NA
OR004X,4,6,NA
OR004W,4,6,NA
OR004M,4,6,NA
OR004E,4,6,NA
OR003W,3,5,NA
OR001X,1,2,NA
OR001M,1,2,NA
OldRiverHd,,0,NA
OldFishClu,,0,NA
Old River,,0,NA
Okie Dam,,0,NA
Ocean,,0,NA
OakdaleRec,,0,NA
Oak Creek,,0,NA
NimbuFH,,0,NA
NF001W,1,2,NA
NewHopeLnd,,0,NA
MZ023E,23,37,NA
MZ022W,22,35,NA
MZ021W,21,34,NA
MZ021M,21,34,NA
MZ020M,20,32,NA
MS021M,21,34,NA
MS020M,20,32,NA
MS001N,1,2,NA
MS001A,1,2,NA
MR010W,10,16,NA
MR010A,10,16,NA
MR009X,9,14,NA
MR009M,9,14,NA
MouofTuoRi,,0,NA
MouofSta,,0,NA
MouofMokRi,,0,NA
MouofMerRi,,0,NA
Mossdale,,0,NA
MokRiverFH,,0,NA
MokeRiver,,0,NA
MokeFH,,0,NA
MK004W,4,6,NA
MK003W,3,5,NA
MK003M,3,5,NA
MK003E,3,5,NA
MK002W,2,3,NA
MK002M,2,3,NA
MK002E,2,3,NA
MK001X,1,2,NA
MK001W,1,2,NA
MK001M,1,2,NA
MK001E,1,2,NA
MillerPk,,0,NA
Mill Creek,,0,NA
MerceFF,,0,NA
MercedR,,0,NA
Mare Is.,,0,NA
LP003E,3,5,NA
LkRedding,,0,NA
LivinNFH,,0,NA
Live Oak,,0,NA
Lighthouse,,0,NA
LI011E,11,18,NA
LI010W,10,16,NA
LI010E,10,16,NA
LI009W,9,14,NA
LI009E,9,14,NA
LI008W,8,13,NA
LI008E,8,13,NA
LI007W,7,11,NA
LI007E,7,11,NA
LI006W,6,10,NA
LI006E,6,10,NA
LI005W,5,8,NA
LI005E,5,8,NA
LI004W,4,6,NA
LI004E,4,6,NA
LI003W,3,5,NA
LI003E,3,5,NA
LI002W,2,3,NA
LI002E,2,3,NA
LI001W,1,2,NA
LI001E,1,2,NA
LI,,0,NA
La Grange,,0,NA
L Tuolumne,,0,NA
L Stanis,,0,NA
L OldRiver,,0,NA
L Moke,,0,NA
L Merced,,0,NA
KnightLnd,,0,NA
KnightFry,,0,NA
KendallCrk,,0,NA
JerseyPt,,0,NA
Isleton,,0,NA
HowardLnd,,0,NA
HC002M,2,3,NA
Hatfield,,0,NA
Hamilton,,0,NA
Hallwood,,0,NA
GS010E,10,16,NA
GS009E,9,14,NA
GS004W,4,6,NA
GS004M,4,6,NA
GS004E,4,6,NA
GS001X,1,2,NA
GS001W,1,2,NA
GS001M,1,2,NA
GS001E,1,2,NA
Gridley,,0,NA
Grayson,,0,NA
GoldenGate,,0,NA
Giusti's,,0,NA
Georgiana,,0,NA
Gallo Trap,,0,NA
FremontWr,,0,NA
FR002M,2,3,NA
FeathFH,,0,NA
Feather R,,0,NA
FC006X,6,10,NA
EmpireTrk,,0,NA
Elkhorn,,0,NA
EDSM,,0,NA
Eagletree,,0,NA
DurhamFry,,0,NA
DS002S,2,3,NA
Dos Reis,,0,NA
DiscPk,,0,NA
DeltaXCh,,0,NA
DeerCrk,,0,NA
CS006S,6,10,NA
CS003S,3,5,NA
CS001S,1,2,NA
CS001M,1,2,NA
CS000X,0,0,NA
CS000S,0,0,NA
Crockett,,0,NA
CR005S,5,8,NA
CoyoteCrk,,0,NA
Cow Crk,,0,NA
Courtland1,,0,NA
Courtland,,0,NA
Colusa,,0,NA
ColemNFH,,0,NA
CliftonCt,,0,NA
ClearCrk,,0,NA
Clarksburg,,0,NA
CL000M,0,0,NA
CC000W,0,0,NA
CaswellPk,,0,NA
Carquinez,,0,NA
CaldwellPk,,0,NA
CA003X,3,5,NA
CA003W,3,5,NA
CA003M,3,5,NA
CA003E,3,5,NA
BWMarina,,0,NA
ButteCrk,,0,NA
BuckleyCv,,0,NA
Boyds,,0,NA
Bow River,,0,NA
Bonnyview,,0,NA
BgChicoCrk,,0,NA
Berkeley,,0,NA
Benicia,,0,NA
BendBridge,,0,NA
BeaverSl,,0,NA
BB001S,1,2,NA
BattleCrk,,0,NA
BallsFerry,,0,NA
Anderson,,0,NA
American R,,0,NA
AM001S,1,2,NA
Adams Dam,,0,NA
