"Year","Index_Delta","Index_LI","Index_SJ","Index_Sac","Index_Yolo","log_Index_Delta","log_Index_LI","log_Index_SJ","log_Index_Sac","log_Index_Yolo","Index_Watershed","MeanFlow_SJ","MeanFlow_Sac","MeanFlow_Delta","MeanFlow_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_LI","MeanWT_Sac","MeanWT_SJ","MeanWT_Yolo"
2005,0.102092730452438,NA,5.19807469880916,0.0578674000651514,0,-2.28187375661633,NA,1.64828830679883,-2.84960109156736,NA,NA,8648.44155844156,31836.3636363636,31853.2337662338,990.818181818182,159.514603637019,159.616300889288,153.578009368455,156.136211710118,20.2049535909217,NA,19.7985066324682,18.4413100053747,21.3190476190476
2006,0.179153711453645,NA,1.4667751845483,0.00878185626102293,0,-1.71951111842849,NA,0.383066238983773,-4.73506747443011,NA,NA,15446.8831168831,30266.2337662338,38518.8831168831,716.051948051948,156.350148392901,158.399871272259,152.702522021582,161.176327626233,20.6118341068327,NA,19.7452077692892,20.8737232586309,NA
2007,0.294605594748402,NA,0.172132930176085,0.0799183935238357,0,-1.22211778413461,NA,-1.75948825080239,-2.52674924589697,NA,NA,1897.14285714286,13488.8311688312,7486.38961038961,617.415584415584,158.712760131435,173.83052838327,163.200847598759,168.141961675186,21.6185006621077,NA,21.101868187276,20.2919506018292,20.2
2008,0.0541696893723899,NA,2.49926899975759,0.047517040802011,0,-2.91563376363946,NA,0.915998289019948,-3.04666687855172,NA,NA,1456.92207792208,11126.1038961039,6491.36363636364,624.61038961039,157.143631388,171.038904646847,162.197295107385,169.40388813806,21.5041598700434,NA,20.5397990005362,21.1155000566771,22.089530083372
2009,0.114095071788729,NA,3.74009132880678,0.146800299918536,0,-2.17072321508259,NA,1.31911003059534,-1.91868211976201,NA,NA,1227.37662337662,14871.4285714286,8696.97402597403,585.753246753247,156.574395818343,168.845140162431,158.111857087179,169.484845797397,21.7517493697457,NA,21.5316923750678,21.9609826247489,22.8780952380952
2010,0.0225197504602677,0,9.04903271822011,0.198790421934767,NA,-3.7933625565772,NA,2.20265787003492,-1.61550416532291,NA,NA,3687.14285714286,18223.3766233766,14148.5194805195,586.207792207792,159.530344123138,166.930230900798,158.639749374906,171.082192387789,20.0856301813076,20.2281142658845,20.1422923722802,20.3440286526232,21.4
2011,0.0441561280354384,0,3.96097449453104,0.142423470819304,0,-3.12002356121436,NA,1.37649007947011,-1.94895047041684,NA,4.14755409338578,10663.8961038961,33729.8701298701,36769.3116883117,602.441558441558,165.0018145947,163.405167103034,160.368915777803,169.309541260671,19.0688720922786,19.5255396168099,19.4846354660809,18.5087995384015,22.5001343726266
2012,0.0185724050167817,0,0.199001795896637,0.11764564377238,0,-3.98607840113732,NA,-1.61444142969215,-2.14007819150338,NA,0.335219844685799,1813.2987012987,14766.6233766234,8122.45454545455,630.896103896104,158.303866097519,173.387641487032,165.929202195613,169.256654109801,21.5625481327819,20.5300870375392,20.3339428411435,21.3082496895542,22.5867007283338
2013,0.00739194667766096,0,1.48087885492457,0.117423540965208,0,-4.90736415818866,NA,0.392635732429146,-2.14196787239466,NA,1.60569434256744,990.12987012987,14153.2467532468,7798.16883116883,636.519480519481,155.274672088143,170.703798862177,162.04514546372,168.808944748225,22.1683247778646,20.8600963583359,20.7185267657629,22.3415269553458,23.9158946437712
2014,0.00542686566905317,0,10.5998651949115,0.12893551265203,0,-5.21639353654678,NA,2.36084128357598,-2.04844290153533,NA,10.7342275732326,588.025974025974,8113.11688311688,4643.28571428571,680.766233766234,151.244334997129,170.802580397304,167.232806482199,169.530342051546,22.8874594315797,22.0473453071749,22.8236704060285,21.6874173212999,22.7728020993344
2015,0.00562008453389502,0,4.88526773621369,0.221762503251661,0,-5.18140857357133,NA,1.58622409181551,-1.50614827493256,NA,5.11265032399925,212.402597402597,7482.07792207792,5229.45454545455,612.480519480519,157.941485784164,167.430951885024,164.687072228238,167.326837853311,22.1701834859932,20.1288844985985,22.4642717587866,23.9120197465097,22.4128782448137
2016,0.0252218491161839,0,3.90715697883429,1.75606315830806,0,-3.68004463169678,NA,1.36280999413302,0.563074461711941,NA,5.68844198625853,841,15298.7012987013,9102.50649350649,629.168831168831,152.704186420001,170.551443123939,164.301976193228,171.780539157,21.7227562631843,22.3193331249237,21.3701335220992,21.6908547877099,22.019266908131
2017,0.0115308026313461,0,2.3263297659131,0.0195694487716268,0,-4.46273333469156,NA,0.844291817870858,-3.93378566498021,NA,2.35743001731607,13540,27668.8311688312,31515.3636363636,674.376623376623,161.036179477834,156.901900962215,152.940100128447,164.464344175477,19.728286745616,21.0309986984521,20.1338634635172,18.6207207187525,24.12298035613
2018,0.0370017415069498,0,0.689940459870817,1.06033624939875,0,-3.29679029969016,NA,-0.371149975156326,0.0585860742354012,NA,1.78727845077652,2241.27272727273,12555.3246753247,8500.71428571429,540.818181818182,149.553193338664,170.30299143531,161.906255394887,169.200105660015,21.468146012463,21.0900000890096,22.0179179668366,20.683979277914,22.8736197360588
2019,0.0246969017975654,0,3.3158932861494,0.0400793650793651,0,-3.70107747651257,NA,1.19872705525624,-3.21689366366421,NA,3.38066955302633,9502.72727272727,28170.1298701299,30867.2727272727,294.103896103896,158.628240696451,160.437370337928,153.940199345333,150.807339044423,19.4694915654576,21,20.263609849188,17.9030196703069,22.7548962256253
