"Year","Index_Delta","Index_LI","Index_SJ","Index_Sac","Index_Yolo","log_Index_Delta","log_Index_LI","log_Index_SJ","log_Index_Sac","log_Index_Yolo","Index_Watershed","MeanFlow_SJ","MeanFlow_Sac","MeanFlow_Delta","MeanFlow_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_LI","MeanWT_Sac","MeanWT_SJ","MeanWT_Yolo"
1995,0.0522546479553237,NA,0.169411463844797,0.137842262707714,NA,-2.95162643601082,NA,-1.77542482582607,-1.98164527143206,NA,NA,20287.7333333333,70558.6666666667,146707.893333333,51095.28,107.354427634433,103.760086169429,96.6607908940505,84.314445483027,14.6173420152266,NA,13.1809485420978,15.339742054936,NA
1996,0.0245468176111414,NA,0.0292092167092167,0.157601959878746,NA,-3.70717306201823,NA,-3.53327097878536,-1.84768266585684,NA,NA,9720.66666666667,40644,52635.0666666667,3372.61333333333,101.146903504561,104.152708066791,102.156074910769,86.9653878693476,15.722056407685,NA,15.3371557104662,16.1914708155032,NA
1997,0.0363191555577101,NA,0.144367851798407,0.567177409010742,NA,-3.31540997558238,NA,-1.93539071028483,-0.56708313352296,NA,NA,5841.86666666667,14888.9333333333,16594.32,408.546666666667,101.666659058748,99.6124548881944,100.395944315083,112.755262556705,16.3207562841028,NA,16.1754184792788,17.5319043078291,NA
1998,0.0538332972097245,NA,0.184422461196211,0.204514769291555,NA,-2.92186309601455,NA,-1.69052616835662,-1.58711508463253,NA,NA,19188,55834.6666666667,84373.28,7383.92,106.198804808561,103.684162766262,102.841989628312,90.8066573491226,14.9326385828571,NA,13.3835378988262,16.176146576982,NA
1999,0.0647878417252741,NA,0.451021474284394,0.192407215007215,NA,-2.73663732092457,NA,-0.796240325791736,-1.64814124141614,NA,NA,6744.53333333333,33182.6666666667,38235.44,2197.88,104.053653329116,98.077711254872,98.1723169220319,89.6209862837522,14.9143936661712,NA,15.3658485604256,15.0275945013384,13.7967533936652
2000,0.105366315788882,NA,0.0634556333217047,0.618742526197748,0.00277777777777778,-2.25031227849861,NA,-2.75741430512677,-0.480066044044514,-5.88610403145016,NA,6732.13333333333,32445.3333333333,38185.8666666667,3577.74666666667,99.8965360163197,98.8454836853785,96.8988114276137,77.2764645158405,16.555784977497,NA,16.1058784201903,16.3730034122445,NA
2001,0.036257809260721,NA,0.0246815667797811,1.15160920653642,0,-3.31710049300075,NA,-3.70169859817629,0.141160274284906,NA,NA,3290,13680.9333333333,12756.8133333333,631.293333333333,109.035947315096,97.9334548325163,101.096851773849,94.8774367964179,17.6683976573468,NA,18.9155494028181,19.3776706847986,18.47
2002,0.0587123342944883,NA,0.0357411792902864,0.542168597417322,0,-2.83510544995384,NA,-3.33145177342459,-0.612178260567672,NA,NA,2597.2,15919.2,13978.2666666667,284.773333333333,108.995174290261,100.640693837211,103.963564390435,118.975887255361,16.2453052341681,NA,15.2212570014366,17.3466681925382,17.75
2003,0.111603271890714,0.00302492877492877,0.0388466058852964,0.908050394390762,0,-2.19280491144755,-5.80086773325462,-3.24813457058483,-0.0964554014905807,NA,1.0615252009417,2598,29349.3333333333,28736.8533333333,1612.58666666667,108.169104439312,111.879202253316,114.829272887219,110.897944503241,15.8116198374638,16.0339607053877,14.6830830779471,17.193336299075,15.4214285714286
2004,0.0281612276887575,0,0.104818688049715,0.392172252213898,0.00694444444444444,-3.56980915174071,NA,-2.25552320190744,-0.936054116794887,-4.969813299576,0.532096612396815,2983.2,24468,22532.04,1092.94666666667,106.141682309824,97.343850471364,98.6322919126127,88.1321686938063,17.8669563083042,18.1823160333723,17.4530221029485,18.481506427851,19.8037229437229
2005,0.298857369049372,NA,0.17782088487277,0.692971030617215,0,-1.20778884599556,NA,-1.72697850007405,-0.366767083527159,NA,NA,9306.13333333333,28977.3333333333,38072.7733333333,1476.81333333333,106.397544271878,108.884599457047,108.703067598963,104.957042641363,16.0897288863084,NA,15.2343977186792,14.9003642659624,18.85
2006,0.0873920558091551,NA,0.306823338243547,0.109750918672744,NA,-2.43735089508391,NA,-1.18148314248798,-2.20954185646741,NA,NA,22986.6666666667,68449.3333333333,131336.213333333,35329.0666666667,111.444257540603,104.389952665719,103.742942489789,97.9768209746083,14.9072288548609,NA,13.2329379421096,14.1936736623123,14.0520161290323
2007,0.10900103136821,NA,0.228261613952154,2.42987651226312,NA,-2.21639793470409,NA,-1.47726287820721,0.887840438062461,NA,NA,2498,12757.2,10600.76,383.066666666667,108.975553776354,102.182736023579,105.814723975765,111.810998955795,17.2172645321433,NA,17.3877496362436,17.7450001315213,18.68
2008,0.0596955818678466,NA,0.168037999992365,2.20328632062876,0.0423047746862333,-2.81849726688584,NA,-1.78356513472533,0.789950027885588,-3.1628553225569,NA,2544.93333333333,9912.13333333333,9263.78666666667,431.946666666667,110.664483679992,104.171722199056,105.742432180361,112.831553278182,16.7913511686365,NA,17.1231334904849,16.7544778603993,19.7532777818821
2009,0.257087422496092,NA,0.115192666460524,1.94278342650487,0.0191197689899085,-1.35833908657559,NA,-2.16114919194352,0.664121700726726,-3.95703245354962,NA,1702.26666666667,15580,13465.52,368.226666666667,111.358894023655,106.076422764228,109.163436688669,109.812760256364,16.3789385766158,NA,16.3366102275707,16.8057709120716,18.5039473684211
2010,0.336733728059395,0.0014985014985015,0.0860754956022813,3.28441542343139,NA,-1.08846278539546,-6.50328967120706,-2.45253051197823,1.18918868280767,NA,NA,4028.4,17410.6666666667,19959.4666666667,514.626666666667,111.824115446993,106.492571603615,109.453929296708,111.99113920771,15.0993933098961,16.2457383340087,14.1693354069022,15.5735937085575,13.6
2011,0.130329719171495,0.0127371736630996,0.302746952978434,0.988542141736444,0.000492931547619048,-2.03768773819135,-4.36323050093032,-1.19485796108039,-0.0115240052756874,-7.61514024220485,1.43484891909709,18984.6666666667,52400,86854.7866666667,14966.0933333333,105.049696246093,101.058040712468,98.8849442034206,86.61298918355,14.8696265473137,14.7620252189399,14.8880196907002,13.1569837645186,18.009926525716
2012,0.165148298991278,0.00576634809439042,0.348092754876768,0.476742456270057,0.000223214285714286,-1.80091142697871,-5.15571631141983,-1.05528629772013,-0.74077885786737,-8.40737832540903,0.995973072518208,2498.4,21850,22663.3866666667,331.146666666667,111.858522787918,103.8207597254,103.063279745187,113.311523594782,16.3057190571292,16.5978753253207,15.4396016139172,17.2919596380415,17.5480495529735
2013,0.267535540116107,0,0.0333387589042351,1.65660128917347,0.00712167226364084,-1.31850286122409,NA,-3.40103462778023,0.50476808738616,-4.94461271264666,1.96459726045745,2131.05333333333,12385.8666666667,11261.0533333333,476.946666666667,111.415181224934,103.356126337546,104.534405899271,108.088171982891,17.8108374070118,17.8991228572109,17.7497153985062,18.0699340304393,17.8522962962963
2014,0.206629343797003,0,0.231758593752556,2.88774298380555,0.00317403789626012,-1.5768287004509,NA,-1.46205899322776,1.06047522254317,-5.75275071735874,3.32930495925137,1513.53333333333,8968,7015.92,283.146666666667,112.658908514293,98.2325750817722,99.5099621052312,116.910340930495,18.0294807288704,18.9144968797185,16.7588974017516,17.6229273038881,18.6856205682012
2015,0.0594473274510591,0.00297619047619048,0.0961616161616162,3.31583749837288,0.00256221830295904,-2.8226646114217,-5.8171111599632,-2.34172500133132,1.19871023075647,-5.96688187111299,3.4769848507647,645.493333333333,6912.26666666667,6448.12,492.04,102.38699082872,105.837544847807,105.875742593707,109.090615939084,18.5045515746332,17.5642616152189,18.6890755238643,18.7333950200622,18.3280615737195
2016,0.0483138149945673,0,0.0260251625579007,1.87260461262544,0.00301832846804111,-3.03003773448864,NA,-3.64869141827965,0.627330302739441,-5.80305208822966,1.94996191864595,2091.41333333333,30657.3333333333,34766.0533333333,4544.30666666667,106.827759218646,92.8821902318097,90.8191645950418,79.7739002356062,17.6291357368829,20.2994574006229,16.9855424586811,18.723861087396,18.5669100257463
2017,0.217265844640307,0.00214874288948363,0.158829087579088,0.871881159495424,0.00204470556642199,-1.5266335847444,-6.14287231041353,-1.83992657578994,-0.137102149343111,-6.19250147715286,1.25216954017072,24192,62104,97385.16,11176.8666666667,103.204695767196,104.717420241316,103.115449349093,100.335281802294,16.1067666641394,17.8594976317377,15.3895686324188,15.0598901759137,16.8234675536881
2018,0.124580741489918,0,0.152740388207367,1.91409877473717,0.0021494708994709,-2.08280124725606,NA,-1.87901560790298,0.649246898144947,-6.14253356039783,2.19356937533392,5790.4,26443.7333333333,30144.2666666667,503.04,107.379616837064,98.4837138477673,99.3077148999036,106.394057463952,16.947074642006,15.5606061473037,18.6493517443393,17.0134979616651,18.8042391269191
2019,0.386104667497406,NA,0.422349843229473,1.3926881134635,0.00865200441479393,-0.951646786954646,NA,-0.861921295994984,0.331235774153939,-4.74996426062863,NA,12556.8,55745.3333333333,79304.5333333333,10800.6666666667,102.030655368671,101.237604343562,99.9670458519395,85.9779408678477,15.5472294445184,15.350000222524,17.116266181855,14.7539235091748,17.1990773630653
