"Year","Index_Yolo","log_Index_Yolo","MeanFlow_Yolo","FlowTiming_Yolo","MeanWT_Yolo","MeanFlow_Yolo_stnd","FlowTiming_Yolo_stnd","MeanWT_Yolo_stnd","PC1","PC2","PC3"
2008,0.00490196087562476,-5.31811997521677,587.274193548387,153.549504270687,20.4013665105929,-0.179338520508585,0.430135987355512,-1.78071828379572,-0.85822700887575,-1.98304297888518,0.180403611846527
2010,0.00102880651177412,-6.87935587501599,489.887096774194,155.566325354756,21.4,-0.475484957820911,0.748357467383584,-0.561865679353087,-0.665632789424563,-0.0223372827823183,0.437216413939651
2011,0.0017024166554156,-6.3757064753735,578.5,153.565087685059,21.1777973646541,-0.206020147189258,0.432594796034438,-0.833068541742732,-0.536899748207837,-0.724461520047583,0.285221584057911
2012,0.000807965290025475,-7.12099145825516,579.516129032258,153.908739215141,21.5724307692308,-0.202930179393518,0.486817403771148,-0.35141039781853,-0.387621636226941,-0.0686534810684004,0.455211415276048
2013,0.00291280864197531,-5.83863749421123,607.225806451613,151.511474713132,22.508145711501,-0.118667248074773,0.108568156044638,0.790648832619509,0.190481399275043,1.17104897005155,0.11619479420315
2014,0.00127394636015326,-6.66563582620892,611.709677419355,154.234324737647,22.3700491567082,-0.105032152087223,0.538189490103438,0.622099162235737,-0.0286758329481224,1.16414577046533,0.844848850550943
2015,0.00268270502645503,-5.92092965526921,599.983870967742,151.433264335063,21.5139670781893,-0.140689399507903,0.0962278337129912,-0.422766528818671,-0.238785041236914,-0.406946850099876,-0.122776985843429
2016,0.00855300324434669,-4.76147280106091,555.758064516129,153.390051368372,21.6795626702934,-0.275176569284386,0.404976919468797,-0.220653720805257,-0.337745818312147,0.109149780633941,0.220853751614386
2017,0.00622608924261727,-5.07900687320466,1616.33870967742,133.800874138086,23.4978072468754,2.94996505574202,-2.68587581902855,1.99855098361181,2.85534055397756,-0.791358119355484,0.399634739944833
2018,0.00495421970823328,-5.30751559923483,497.354838709677,153.497470489039,22.4129661285217,-0.45277614687762,0.421925905093736,0.674480204354335,-0.0977823818028511,1.40949962821161,0.103166966913641
2019,0.0128363393474218,-4.35547511892118,385.193548387097,144.600200988192,21.9297491281866,-0.793849734997845,-0.981918139939711,0.0847039695125904,0.105548303782528,0.142956082876413,-2.91997514250366
