"Year","Index_Delta","log_Index_Delta","MeanFlow_Delta","FlowTiming_Delta","MeanWT_Delta","MeanFlow_Delta_stnd","FlowTiming_Delta_stnd","MeanWT_Delta_stnd","PC1","PC2","PC3"
1995,0.0132168865636128,-4.32625998185563,72909.8064516129,142.820161144746,17.9275752083117,2.33594251399436,-1.13623876896686,-1.60270559006578,-2.12097386258126,-0.0949475514722059,1.31699779963713
1996,0.00914448576284616,-4.6946042302298,30910.6935483871,145.043076751286,19.4789102823171,0.322744746556729,-0.428190085338732,-0.383647233643209,-0.43654807133757,-0.230215316979874,-0.192104549791843
1997,0.000859484319978147,-7.05917797649783,10416.5322580645,147.028538690822,20.9085912259403,-0.659628377615027,0.204224257583785,0.73981379714626,0.70046268260878,-0.18915818816284,0.151628064799366
1998,0.0615515288600797,-2.78788058734124,69289.1290322581,150.166494022476,17.1614148940917,2.16238790311359,1.2037337015432,-2.20476387461016,-1.71657324473514,2.42867677504149,0.361446613828345
1999,0.00136663832199546,-6.59540133415838,18261.6129032258,145.032018512303,19.251048773086,-0.283579986388319,-0.431712383500714,-0.56270363582848,-0.234428884331741,-0.301415023412943,-1.74416340714942
2000,0.00149285961227926,-6.50706179546965,15846.6612903226,142.913024316713,20.0194174664093,-0.399338983650217,-1.10665975729619,0.041090020425822,-0.0764631798228959,-1.21238340032882,-0.974299233202118
2001,0.0019713130736977,-6.22905542339602,8669.45161290323,148.467382689682,21.5578766782572,-0.743373452480692,0.662528475855393,1.25003036454901,1.09028642418354,0.0787889974044517,1.06953889752745
2002,0.0154583379002291,-4.16960675129008,10597.2419354839,147.046891385312,20.0828457060421,-0.650966187059398,0.210070004105356,0.0909327184046002,0.401159441655136,0.0414214665636942,-1.07371226392734
2003,0.00231991325587385,-6.06622548371248,27502.8870967742,138.784413835732,20.1136019788055,0.159393954932754,-2.42171517715623,0.115101379290885,-0.641323599044201,-2.4416247667095,-0.0252151770379224
2004,0.0333416314253899,-3.40094846988157,9185.06451612903,146.758626381538,21.1938502184126,-0.718657912701839,0.11825110830124,0.963973854083663,0.808728596412636,-0.365200285388907,0.443754951697283
2005,0.035118403985228,-3.34902995585982,39442.6290322581,147.00670267105,19.0962218239914,0.731717038605587,0.197268993510892,-0.684368574148909,-0.606347595306138,0.589340546280413,0.19169715919711
2006,0.210174089301212,-1.55981909502018,59714.5967741935,142.307590001364,19.6185249150363,1.70343947221198,-1.29950422190158,-0.273936322346803,-1.25787417236906,-0.850265333261924,2.56624343944799
2007,0.0357645981452206,-3.33079675346365,8650.29032258065,148.469836925108,20.5453716434449,-0.744291935377879,0.663310205111142,0.454391340916928,0.727079378939872,0.352637010295545,-0.457414035527641
2008,0.00876820155761042,-4.73662356117454,7803.27419354839,150.574074571675,20.4231222958266,-0.78489305435581,1.33355728570614,0.35832628619183,0.873562432174615,1.05119498230531,-0.566529036775503
2009,0.0130824962296366,-4.33648010791695,12052.2419354839,143.343714661574,20.7507490711377,-0.581221791305821,-0.969475182752291,0.615779472755563,0.306868770221349,-1.31050314630724,-0.203018483763415
2010,0.0194933276132771,-3.9376830456453,18819.0806451613,146.696227147636,19.1596467251425,-0.256858164523438,0.0983755469917026,-0.634528499590486,-0.144323616989415,0.262169598140052,-1.70529049873678
2011,0.0258597195930933,-3.65506874896507,44781.7580645161,149.117370300191,18.0355932914158,0.987644411942505,0.869564168367275,-1.51782363963529,-0.935875795757161,1.60637388864124,-0.739807924877038
2012,0.00785943106332373,-4.84604105896191,10733.5322580645,145.83936232398,20.7674400593324,-0.644433206856344,-0.174555197050901,0.628895458448561,0.545773555703536,-0.528848231359229,-0.11886453931031
2013,0.0557511821209886,-2.88685666490279,9043.3064516129,148.663959264114,21.045384838076,-0.72545298524677,0.725142541971623,0.847307915453466,0.91371065372225,0.283903343746787,0.347757534114806
2014,0.00980920679797124,-4.62443386514984,4773.08064516129,152.949761937749,21.9041975951811,-0.930143238581684,2.0902672153642,1.52217363962495,1.66746699013645,1.38172719039242,1.55133606260418
2015,0.0174447865412106,-4.04871444051969,5353.08064516129,148.807382544269,21.6337274758313,-0.902341348865481,0.770826086779441,1.30963486274764,1.21992308569007,0.133395158212418,0.892292073510323
2016,0.0368940583859166,-3.29970476025252,9663.61290322581,147.602718211315,21.0616758779476,-0.695719034284716,0.38711336612898,0.860109616789987,0.819183054589959,-0.054189269746705,0.352892680732312
2017,0.00652557561273342,-5.03202611315336,48035.4032258065,142.054551162701,18.772093026081,1.14360559116639,-1.38010279077887,-0.939073006654057,-1.31958320412652,-0.822153207768062,0.1570197488137
2018,0.0601734658088825,-2.81052379112813,10134.3387096774,145.790312081728,20.5482864335974,-0.673155125737237,-0.190178803883295,0.456681819197324,0.476523857465903,-0.491536600331226,-0.509869443029936
2019,0.282583846400513,-1.26377997101472,41851.3870967742,146.400247650481,18.1210226751993,0.847179152506777,0.0040994113053324,-1.4506921695033,-1.060413697103,0.682811364205653,-1.09231643278072
