"Year","Index_Sac","log_Index_Sac","MeanFlow_Sac","FlowTiming_Sac","MeanWT_Sac","MeanFlow_Sac_stnd","FlowTiming_Sac_stnd","MeanWT_Sac_stnd","PC1","PC2","PC3"
1995,0.100193306638247,-2.30065389258009,51267.2131147541,145.802737185432,17.5652500759619,2.10917900834381,-1.46069699763764,-1.65014648909123,-1.98616860741624,0.0138761681405812,0.899015590897912
1996,0.520559344380367,-0.652851383246856,31959.0163934426,149.306591433701,19.3404637562151,0.703481688952211,-0.40021833286312,-0.349595108325047,-0.556874611574949,-0.0392679275128729,0.849673333009428
1997,0.0473564168231827,-3.0500529495629,13284.7540983607,154.195910510014,19.6904898304173,-0.656063214629504,1.07958596215474,-0.0931601229643519,0.589658734017007,1.09291441325992,-1.13722404443352
1998,0.200430044037052,-1.60729000066379,51909.8360655738,151.436033475446,15.9998641356502,2.15596397601247,0.244279894841451,-2.79697454069456,-1.8876538530569,2.66687528298831,-0.114935556087905
1999,0.0249918902746284,-3.6892038957543,18506.5573770492,149.119674018957,20.5929349816875,-0.275899547499428,-0.456790871663424,0.567986363571739,0.182887443797873,-0.948355953157557,0.122758281773085
2000,0.0643479811634574,-2.74344971818338,18303.2786885246,149.41262875056,20.2148550980677,-0.290698874006863,-0.368125013840368,0.290998685890305,0.111692402146772,-0.6643752237515,-0.489775454178983
2001,0.32410529198435,-1.12668684072249,10694.4262295082,154.004644674719,20.9401550926555,-0.844647213132705,1.02169732773713,0.822365653103132,1.00042707750861,0.357585214282237,0.414066097383409
2002,0.0349641220652997,-3.35343282709908,13423.606557377,152.775084265546,20.0181064306719,-0.645954319829675,0.649557824039579,0.146857305113529,0.536824506226493,0.462524662185344,-0.933736179140977
2003,0.146671176892091,-1.91956208967377,31557.3770491803,144.508519480519,18.5928925144845,0.674241084159297,-1.85240571791667,-0.897278365540116,-1.23057280826589,-1.24588822045704,-1.83340417352086
2004,0.0588254950166476,-2.83317992933148,13809.8360655738,153.692070275404,20.3302919806016,-0.617835599465544,0.927093369312771,0.375569686351158,0.703871693385314,0.612587468242581,-0.0648033614363532
2005,0.198844108190925,-1.61523413718191,34531.1475409836,149.833032662362,18.9620993669967,0.89074090903418,-0.240885309370919,-0.62679121959012,-0.688760352542345,0.366030749274967,0.88421152442687
2006,0.0734807522094937,-2.61073178175928,39881.9672131148,144.534445905952,18.9743287896179,1.28029737452019,-1.84455881017525,-0.617831739020036,-1.37189802459138,-1.29678706907191,0.580037090873371
2007,0.185336189230865,-1.68558386399933,10802.4590163934,153.729721526671,20.7244729552071,-0.836782087190451,0.938488919995405,0.664353293923303,0.909244882836552,0.377820432169467,-0.00926458608184277
2008,0.414689414683841,-0.88022543729348,10028.6885245902,154.761078872088,20.0110391732002,-0.893115007444549,1.25064016347637,0.141679713500029,0.834101320288042,1.06480254261277,-1.1161645534695
2009,0.0848597613855207,-2.46675525107238,14200,147.508162087278,20.9327957508804,-0.589430440523859,-0.944532056223094,0.816974075619473,0.248743746856579,-1.71874559909877,-0.639736607401549
2010,0.0790123743750638,-2.53815080112248,19080.3278688525,151.19967351147,19.2008503077767,-0.234127254938121,0.172743043921562,-0.45187826733844,-0.0199137367846184,0.447665304155428,-1.58041796157504
2011,0.560002664807642,-0.579813736679189,38003.2786885246,151.907816409283,18.2918639638796,1.14352295373374,0.387070005470629,-1.11781694154039,-0.77646662210729,1.44221854707989,1.03008281056323
2012,0.260306818125368,-1.34589427398863,13775.9016393443,150.881974938417,20.0331626180202,-0.620306132197027,0.0765881999469677,0.157887721036255,0.342814037817204,-0.161920927586374,-1.35198648856674
2013,0.215872536304084,-1.53306715518455,12275.5737704918,153.090516953566,20.2143086002028,-0.729534709774478,0.745026873867477,0.290598312368688,0.657924047823081,0.448807745431887,-0.751509270192902
2014,0.62064132763495,-0.477001936154217,7299.01639344262,155.26738388285,22.1055601756621,-1.09184370556978,1.40387874697247,1.67616100558148,1.55588334645822,0.130018141175679,2.04921620230125
2015,0.156280386419221,-1.85610353619005,7106.72131147541,150.897833960001,21.751314173769,-1.10584339104818,0.0813881010964979,1.41663443026393,1.02898748145059,-1.13095271034044,0.203653964906838
2016,0.598468609742278,-0.513381203576311,13580.3278688525,153.040704973443,21.0616082643265,-0.634544516490066,0.729950749569012,0.911344288110398,0.851979580527749,0.0254718464720259,0.965876859244754
2017,0.171758914153685,-1.7616634473128,37437.7049180328,144.356614266322,18.8293025246763,1.10234740820902,-1.89838144273556,-0.724080418384797,-1.35656345436244,-1.32113493049618,-0.231974433418937
2018,0.164093488265115,-1.8073189631779,11440.6557377049,152.183154697083,21.537815983759,-0.790319362921545,0.470404059663016,1.26022206768627,0.965526678946028,-0.531185805518806,1.09985184017055
2019,0.634306631409403,-0.455222795707667,33245.9016393443,148.277120315582,19.5254386532269,0.797170973696858,-0.711798689639118,-0.214079389630572,-0.645694909384058,-0.450584150479635,1.15648907395442
