"Year","Index_Yolo","log_Index_Yolo","MeanFlow_Yolo","FlowTiming_Yolo","MeanWT_Yolo","MeanFlow_Yolo_stnd","FlowTiming_Yolo_stnd","MeanWT_Yolo_stnd","PC1","PC2","PC3"
2000,0.00740740740740741,-4.90527477843843,559.806451612903,155.008643540394,23.195,-0.209294037199572,0.94655606165714,1.57220868842167,1.2901441615252,1.08978421198916,0.14291976736409
2001,0.0111111111111111,-4.49980967033027,575.661290322581,151.13249838895,19.7225,-0.113836958397521,-0.202237564845251,-2.05298567724882,-0.961609330455908,-1.80618469749397,0.504685722832722
2005,0.150092592592593,-1.89650289137663,1057.83870967742,146.223508065746,21.2440476190476,2.78920411056201,-1.6571409741662,-0.464531867120465,-2.39917973219839,1.65051303271039,0.476095320213885
2009,0.00694444444444444,-4.969813299576,531.693548387097,152.891551645685,20.7668972332016,-0.378553130131379,0.319102346603277,-0.962663728991283,-0.0802479980321275,-1.11284195814575,0.402701840288778
2011,0.0017770231311898,-6.33281571290515,578.5,153.565087685059,21.1777973646541,-0.0967459656516827,0.518721782672194,-0.533695308143229,0.0796093987160636,-0.584238414277581,0.608782350446218
2012,0.0104115823412698,-4.56483640586319,579.516129032258,153.908739215141,21.5724307692308,-0.0906281671119788,0.62057160306628,-0.121708902159986,0.312469020306819,-0.240376587972671,0.552519647679551
2013,0.00196961492220343,-6.22991722630191,607.225806451613,151.511474713132,22.508145711501,0.0762032279866163,-0.089918348509044,0.855151727528028,0.296109856649836,0.792811919212914,-0.350401118836279
2014,0.000661375661375661,-7.32118855673948,611.709677419355,154.234324737647,22.3700491567082,0.103199227891977,0.717067105304376,0.710982727570253,0.639626364392873,0.588042432077259,0.457128532865645
2016,0.000815237377975835,-7.11203122581171,555.758064516129,153.390051368372,21.6795626702934,-0.233668123445058,0.466845344313953,-0.00986614791500076,0.350210145537671,-0.220363488943022,0.277559993698657
2018,0.00546296296296296,-5.20976396920659,497.354838709677,153.497470489039,22.4129661285217,-0.585295877608046,0.498681716886518,0.755786864189387,0.874049010645475,0.198093609762582,-0.206939551604117
2019,0.00709060773016859,-4.94898422558566,385.193548387097,144.600200988192,21.9297491281866,-1.26058430689537,-2.13824907298327,0.251321623869445,-0.401180897087512,-0.355240058919302,-2.86505250494915
