"Year","Index_Delta","log_Index_Delta","MeanFlow_Delta","FlowTiming_Delta","MeanWT_Delta","MeanFlow_Delta_stnd","FlowTiming_Delta_stnd","MeanWT_Delta_stnd","PC1","PC2","PC3"
1996,0.000102880658436214,-9.18194089745448,30910.6935483871,145.043076751286,19.4789102823171,-0.084220266151126,-0.273276183076095,0.0446253274816686,-0.0853708566313734,-0.259279402917711,-0.129498707313353
1998,0.000165752171925011,-8.70501682536418,69289.1290322581,150.166494022476,17.1614148940917,1.77148698685509,1.04032091899671,-1.69515145861552,1.88411795906671,0.806692130018508,0.350068010707862
1999,0.000110229276895944,-9.11294802596753,18261.6129032258,145.032018512303,19.251048773086,-0.695839536221453,-0.276111413921683,-0.126433551953208,-0.314384373566851,-0.17609121430691,-1.39204527795928
2002,0.000318980721279572,-8.05037989186597,10597.2419354839,147.046891385312,20.0828457060421,-1.06643381958004,0.240483473227723,0.498008249336412,-0.802240844794416,0.378040423778625,-0.848464076457517
2003,4.35388366422849e-05,-10.0418572218009,27502.8870967742,138.784413835732,20.1136019788055,-0.248997466403521,-1.87793983500088,0.5210974212297,-0.527606839036768,-1.82961457826678,-0.0110885629042816
2005,0.0148172393981781,-4.2119639518922,39442.6290322581,147.00670267105,19.0962218239914,0.328323245849367,0.230179456241354,-0.242664347175331,0.314020482862341,0.185594714137103,0.190113490068594
2006,0.180315005077936,-1.71304992939634,59714.5967741935,142.307590001364,19.6185249150363,1.30853093532715,-0.974629845535354,0.14943602019694,0.539407813170918,-1.14529000882128,2.11092618075701
2009,0.000280583613916947,-8.1786387885907,12052.2419354839,143.343714661574,20.7507490711377,-0.996080403160581,-0.708977005058839,0.999412815599351,-1.09191381554781,-0.576820292225181,-0.151882055032652
2011,0.014653862901969,-4.22305129896105,44781.7580645161,149.117370300191,18.0355932914158,0.586485423253944,0.771335238470767,-1.03889328856724,0.903261132419778,0.695165092170391,-0.556069228856577
2014,0.00198412698412698,-6.22257626807137,4773.08064516129,152.949761937749,21.9041975951811,-1.3480486955609,1.75392523312388,1.86532304622355,-1.56909988857573,1.89680898050678,1.28727454685824
2019,0.00481257014590348,-5.33652400370231,41851.3870967742,146.400247650481,18.1210226751993,0.444793595792065,0.0746899625324192,-0.974760233756321,0.749809230633206,0.0247941559264529,-0.849334319868047
