"Year","Index_SJ","log_Index_SJ","MeanFlow_SJ","FlowTiming_SJ","MeanWT_SJ","MeanFlow_SJ_stnd","FlowTiming_SJ_stnd","MeanWT_SJ_stnd","PC1","PC2","PC3"
2003,0.00740298061726633,-4.90587257375149,2350.16129032258,147.344108160044,20.0465935898128,-0.58805716435431,0.573317676310185,0.303837980428982,-0.113548279495112,-0.882588598290695,1.0405463522446
2004,0.00231481481481481,-6.06842558824411,2055.8064516129,145.482347403107,21.4676753328404,-0.634849732813416,0.171627868678156,1.03465039737916,-0.582338172634916,-0.303329141217877,1.45356362160604
2005,0.00170068027210884,-6.37672694789863,10150.3225806452,149.844959638975,18.3966078790618,0.651907440166679,1.11289643031767,-0.544691705582029,0.904295207089683,-0.167466814826128,0.687266683676206
2006,0.00448051948051948,-5.40801628380446,21116.1290322581,145.947754353804,19.7519419380685,2.39510368367224,0.272043149105299,0.152308987233388,0.945265213308728,2.81297973155848,0.590663422640003
2009,0.0243518518518519,-3.71514738093455,1630.46774193548,144.489044307491,21.5559186170316,-0.702464353242735,-0.0426852367579783,1.08003081839702,-0.711032991877291,-0.23362460023818,1.25013546551492
2010,0.0094997594997595,-4.65648879651088,4553.54838709677,147.86522385945,18.055915504561,-0.23779235464481,0.685752565846057,-0.719897825051955,0.470758337416592,-1.08451438016726,-0.0684222520794829
2011,0.0027732683982684,-5.88772872717716,11790.9677419355,148.067793827971,16.6882063798874,0.912715114887782,0.729458660404147,-1.42326257939607,1.19992238616286,-0.10536391354827,-0.840968653169303
2013,0.0598666450707267,-2.81563577251618,1581.6935483871,138.490949880182,20.7582692749301,-0.710217817736999,-1.33682219162026,0.669827783673639,-1.06513431653067,0.297568480706508,-0.804131969789814
2014,0.0178571428571429,-4.02535169073515,971.225806451613,136.530955227846,20.2610022496705,-0.807261758756653,-1.7597067496512,0.414100821883705,-1.16774017652182,0.290728627134465,-1.62766464461338
2016,0.0111886294922009,-4.49285724028057,1316.6935483871,140.588166840203,21.1704014988573,-0.752343949231963,-0.884330820699183,0.881772907977045,-0.985457414432289,0.0950896970809749,-0.00331574285765335
2018,0.0211940836940837,-3.85403320728553,3383.03225806452,140.567371321777,19.9178834995464,-0.423865246601751,-0.888817620501482,0.237646902670806,-0.607223206695289,0.142922360226856,-0.787722582076419
2019,0.00607142857142857,-5.10416135210708,11692.9032258065,151.023918561024,15.3988670730383,0.897126138655932,1.36726626856856,-2.08632448961369,1.71223341420953,-0.862401448418882,-0.889949701095728
