"Name","PC1","PC2","PC3","Spacer","Name","PC1","PC2","PC3","Spacer","Name","PC1","PC2","PC3","Spacer"
"MeanFlow_Sac_stnd",-0.414484736998604,0.219742570806345,2.88850202519841,"","MeanFlow_Delta_stnd",-0.467848523701702,0.217446331552366,2.06940237287887,"","MeanFlow_SJ_stnd",0.348298236660943,1.07667705712708,-0.434042346821509,""
"FlowTiming_Sac_stnd",0.327443752862128,1.08640873888671,0.904444318701561,"","FlowTiming_Delta_stnd",0.255543940772495,1.00797065727193,0.230041985426511,"","FlowTiming_SJ_stnd",0.422962984728467,-0.25742426957845,1.59785564442885,""
"MeanWT_Sac_stnd",0.38399620782027,-0.689219860887495,2.3465996327901,"","MeanWT_Delta_stnd",0.455908074050065,-0.3418427038519,1.99465870722282,"","MeanWT_SJ_stnd",-0.39863168121532,0.667593158267975,1.3161462904785,""
"",,,,"","",,,,"","",,,,""
"SS loadings",2.34483029200168,0.586994056514056,0.0681756514842656,"","SS loadings",2.03236699393865,0.847354086765932,0.12027891929542,"","SS loadings",2.17809609891146,0.598379099370208,0.22352480171833,""
"Proportion Var",0.781610097333893,0.195664685504685,0.0227252171614219,"","Proportion Var",0.677455664646217,0.282451362255311,0.0400929730984734,"","Proportion Var",0.726032032970487,0.199459699790069,0.0745082672394432,""
"Cumulative Var",0.781610097333893,0.977274782838578,1,"","Cumulative Var",0.677455664646217,0.959907026901527,1,"","Cumulative Var",0.726032032970487,0.925491732760556,0.999999999999999,""
"Proportion Explained",0.781610097333893,0.195664685504685,0.0227252171614219,"","Proportion Explained",0.677455664646216,0.28245136225531,0.0400929730984734,"","Proportion Explained",0.726032032970487,0.199459699790069,0.0745082672394433,""
"Cumulative Proportion",0.781610097333893,0.977274782838578,1,"","Cumulative Proportion",0.677455664646216,0.959907026901527,1,"","Cumulative Proportion",0.726032032970487,0.925491732760557,1,""
