"Year","Index_Sac","log_Index_Sac","MeanFlow_Sac","FlowTiming_Sac","MeanWT_Sac","MeanFlow_Sac_stnd","FlowTiming_Sac_stnd","MeanWT_Sac_stnd","PC1","PC2","PC3"
1995,0.125560134310134,-2.07497047732009,51374.1935483871,145.333699610699,17.5652500759619,2.10539734697317,-1.42412948746537,-1.64500667252167,-1.97048666223482,0.0601781153971812,0.898912101061444
1996,0.039216767629917,-3.23865087798167,31875.8064516129,148.922734402672,19.3404637562151,0.690947787179478,-0.351974529304495,-0.330837137685199,-0.52839686483324,0.00188270081964712,0.851786502512234
1997,0.00183531746031746,-6.30053780954108,13241.4516129032,153.754388101879,19.5244049369722,-0.660823252539646,1.09138887338721,-0.194667673331844,0.557267360366926,1.17770739161559,-1.32297895799466
1998,0.0255001084073054,-3.66907257555992,51817.7419354839,150.98396986958,15.9998641356502,2.13757317863363,0.263779831930758,-2.80384323169327,-1.87379842960776,2.71634227255809,-0.185787953384233
1999,0.059913761099277,-2.81484906570015,18619.3548387097,148.476437976438,20.5929349816875,-0.270700068883417,-0.485296983371098,0.596352386643138,0.181349287052236,-1.0055231932085,0.184874321232505
2000,0.021326788291074,-3.84779133021888,18409.6774193548,148.792798317855,20.2148550980677,-0.285910462032001,-0.390790429861422,0.31646435383078,0.111177255688474,-0.712321267237178,-0.397027427939236
2001,0.00258763227513227,-5.95701200087321,10680.3225806452,153.500362439216,20.9401550926555,-0.846612354698332,1.01550360352765,0.853395297472667,1.01178280741663,0.32841970240848,0.426906287411742
2002,0.00595509493078937,-5.12350813494352,13395.8064516129,152.313374431093,20.0181064306719,-0.649626063121805,0.660913817707557,0.170813659727095,0.551464950734608,0.456488992542955,-0.839229712492861
2003,0.04191380428434,-3.17214004845323,31706.4516129032,143.999847390375,18.5928925144845,0.678662469636393,-1.82259212557428,-0.88425522021265,-1.21974984090007,-1.22986024531068,-1.61420797028789
2004,0.00263897478183192,-5.93736477746268,13775.8064516129,153.244233696288,20.3302919806016,-0.62206015061561,0.938990078980067,0.401920902476185,0.72035439093075,0.607922455546204,-0.0251061349213864
2005,0.117328151320981,-2.14278055790545,34240.3225806452,149.601158792218,18.9620993669967,0.862474220685773,-0.149308320936774,-0.610935786602162,-0.64022543575749,0.456700060178086,0.864432312052729
2006,0.0118031048799189,-4.43939265670508,40366.1290322581,143.84920286091,18.9743287896179,1.30685170667274,-1.86759427477243,-0.601882490756037,-1.38560955224638,-1.32942064170169,0.674994767737476
2007,0.139337730414184,-1.9708545776269,10781.935483871,153.248863092389,20.7244729552071,-0.839241164172482,0.940373021824219,0.693728381091836,0.922670491790959,0.35802442627908,0.0322743156984704
2008,0.0180214298430903,-4.01619368238652,10003.2258064516,154.30109642051,20.0110391732002,-0.895730224265826,1.25470744466409,0.165581853231085,0.846477092686542,1.05387026598066,-1.02918017246968
2009,0.0414620864500614,-3.18297584883018,14187.0967741935,147.089097316962,20.3417901566583,-0.592224379439553,-0.899738261578285,0.410432865203817,0.10642211603801,-1.40519800310012,-1.43817585126616
2010,0.0328836447342941,-3.41477986535437,19162.9032258065,150.564178099487,19.2008503077767,-0.231270049721328,0.13837513295516,-0.434191309992523,-0.0257594141302277,0.398012480816362,-1.47224637786678
2011,0.953133016414402,-0.0480008085574398,38024.1935483871,151.375906680806,18.2918639638796,1.13696331550552,0.380863398905798,-1.10710306930342,-0.769882353107949,1.44310146717046,0.948111183169475
2012,0.332185843791183,-1.10206069622332,14010.1612903226,149.908419004639,20.0331626180202,-0.605059611196465,-0.0575202555411644,0.181959575818224,0.300994761903385,-0.327904859604523,-1.28489153355891
2013,0.0481404297128503,-3.03363292035109,12274.3548387097,152.560032062654,20.2143086002028,-0.730978265861861,0.734598030309172,0.316059787973217,0.665127929411107,0.418220247148884,-0.678129312285862
2014,0.232350534008697,-1.45950812515942,7274.03225806452,154.817734317834,22.1055601756621,-1.09371104154822,1.40904305724399,1.71613079397492,1.57484267819958,0.107132692256468,1.98735316858428
2015,0.00297619047619048,-5.8171111599632,7097.74193548387,150.437940280871,21.751314173769,-1.10649947209545,0.100664018134187,1.45388669981093,1.04895074356612,-1.14798510458969,0.296841429982891
2016,0.0268707482993197,-3.61671700786571,13553.2258064516,152.586957039153,21.0616082643265,-0.638206567957949,0.742641348004597,0.943305633278851,0.870459212081746,0.0154557748074969,0.965834875267488
2017,0.126423192383014,-2.06812033005769,38025.8064516129,143.593145571768,18.8293025246763,1.13708031852974,-1.94408645387887,-0.70924370662397,-1.38187944040448,-1.37819426388801,-0.0852144217783826
2018,0.0857432030051078,-2.4563984613243,11470.6451612903,151.581287437779,21.537815983759,-0.789280872830613,0.442216940919912,1.2958365336958,0.969510236670307,-0.591729399639901,1.08823011633545
2019,0.084992784992785,-2.46518890853236,33406.4516129032,147.687331015836,19.5254386532269,0.801983657164108,-0.721027476210257,-0.193902425505792,-0.643063321314951,-0.471322067245358,1.15162444519985
